,time,实际值,预测值
125,2012/1/6 5:00,3201,3201
126,2012/1/6 6:00,3643,3643
127,2012/1/6 7:00,3887,3887
128,2012/1/6 8:00,3907,3907
129,2012/1/6 9:00,3929,3929
130,2012/1/6 10:00,3942,3942
131,2012/1/6 11:00,3902,3902
132,2012/1/6 12:00,3840,3840
133,2012/1/6 13:00,3782,3782
134,2012/1/6 14:00,3722,3722
135,2012/1/6 15:00,3751,3751
136,2012/1/6 16:00,3955,3955
137,2012/1/6 17:00,4109,4109
138,2012/1/6 18:00,4032,4032
139,2012/1/6 19:00,3926,3926
140,2012/1/6 20:00,3740,3740
141,2012/1/6 21:00,3521,3521
142,2012/1/6 22:00,3244,3244
143,2012/1/6 23:00,2981,2981
144,2012/1/7 0:00,2790,2790
145,2012/1/7 1:00,2685,2685
146,2012/1/7 2:00,2624,2624
147,2012/1/7 3:00,2604,2604
148,2012/1/7 4:00,2633,2633
149,2012/1/7 5:00,2724,2724
150,2012/1/7 6:00,2914,2914
151,2012/1/7 7:00,3128,3128
152,2012/1/7 8:00,3329,3329
153,2012/1/7 9:00,3466,3466
154,2012/1/7 10:00,3505,3505
155,2012/1/7 11:00,3473,3473
156,2012/1/7 12:00,3411,3411
157,2012/1/7 13:00,3359,3359
158,2012/1/7 14:00,3344,3344
159,2012/1/7 15:00,3394,3394
160,2012/1/7 16:00,3630,3630
161,2012/1/7 17:00,3817,3817
162,2012/1/7 18:00,3746,3746
163,2012/1/7 19:00,3609,3609
164,2012/1/7 20:00,3487,3487
165,2012/1/7 21:00,3285,3285
166,2012/1/7 22:00,3062,3062
167,2012/1/7 23:00,2850,2850
168,2012/1/8 0:00,2654,2654
169,2012/1/8 1:00,2567,2567
170,2012/1/8 2:00,2504,2504
171,2012/1/8 3:00,2506,2506
172,2012/1/8 4:00,2535,2535
173,2012/1/8 5:00,2612,2612
174,2012/1/8 6:00,2771,2771
175,2012/1/8 7:00,2976,2976
176,2012/1/8 8:00,3215,3615
177,2012/1/8 9:00,3363,3363
178,2012/1/8 10:00,3463,3463
179,2012/1/8 11:00,3496,3496
180,2012/1/8 12:00,3507,3507
181,2012/1/8 13:00,3481,3481
182,2012/1/8 14:00,3476,3476
183,2012/1/8 15:00,3523,3523
184,2012/1/8 16:00,3823,3823
185,2012/1/8 17:00,4070,4070
186,2012/1/8 18:00,4024,4024
187,2012/1/8 19:00,3887,3887
188,2012/1/8 20:00,3711,3711
189,2012/1/8 21:00,3465,3465
190,2012/1/8 22:00,3183,3183
191,2012/1/8 23:00,2955,2955
192,2012/1/9 0:00,2820,2820
193,2012/1/9 1:00,2759,2759
194,2012/1/9 2:00,2739,2739
195,2012/1/9 3:00,2740,2740
196,2012/1/9 4:00,2851,2851
197,2012/1/9 5:00,3142,3142
198,2012/1/9 6:00,3643,3643
199,2012/1/9 7:00,3896,3896
200,2012/1/9 8:00,3900,3900
201,2012/1/9 9:00,3910,3910
202,2012/1/9 10:00,3921,3921
203,2012/1/9 11:00,3888,3888
204,2012/1/9 12:00,3826,3826
205,2012/1/9 13:00,3782,3782
206,2012/1/9 14:00,3721,3721
207,2012/1/9 15:00,3721,3721
208,2012/1/9 16:00,3987,3987
209,2012/1/9 17:00,4270,4270
210,2012/1/9 18:00,4244,4244
211,2012/1/9 19:00,4112,4112
212,2012/1/9 20:00,3925,3925
213,2012/1/9 21:00,3635,3635
214,2012/1/9 22:00,3317,3317
215,2012/1/9 23:00,3069,3069
216,2012/1/10 0:00,2908,2908
217,2012/1/10 1:00,2836,2836
218,2012/1/10 2:00,2788,2788
219,2012/1/10 3:00,2788,2788
220,2012/1/10 4:00,2860,2860
221,2012/1/10 5:00,3113,3113
222,2012/1/10 6:00,3589,3589
223,2012/1/10 7:00,3813,3813
224,2012/1/10 8:00,3822,3822
225,2012/1/10 9:00,3849,3849
226,2012/1/10 10:00,3869,3869
227,2012/1/10 11:00,3844,3844
228,2012/1/10 12:00,3781,3781
229,2012/1/10 13:00,3747,3747
230,2012/1/10 14:00,3686,3686
231,2012/1/10 15:00,3689,3689
232,2012/1/10 16:00,3956,3956
233,2012/1/10 17:00,4182,4182
234,2012/1/10 18:00,4159,4159
235,2012/1/10 19:00,4061,4061
236,2012/1/10 20:00,3890,3890
237,2012/1/10 21:00,3612,3612
238,2012/1/10 22:00,3286,3286
239,2012/1/10 23:00,3030,3030
240,2012/1/11 0:00,2872,2872
241,2012/1/11 1:00,2796,2796
242,2012/1/11 2:00,2766,2766
243,2012/1/11 3:00,2784,2784
244,2012/1/11 4:00,2887,2887
245,2012/1/11 5:00,3185,3185
246,2012/1/11 6:00,3661,3661
247,2012/1/11 7:00,3875,3875
248,2012/1/11 8:00,3861,3861
249,2012/1/11 9:00,3833,3833
250,2012/1/11 10:00,3822,3822
251,2012/1/11 11:00,3794,3794
252,2012/1/11 12:00,3734,3734
253,2012/1/11 13:00,3720,3720
254,2012/1/11 14:00,3693,3693
255,2012/1/11 15:00,3721,3721
256,2012/1/11 16:00,3977,3977
257,2012/1/11 17:00,4186,4186
258,2012/1/11 18:00,4152,4152
259,2012/1/11 19:00,4043,4043
260,2012/1/11 20:00,3873,3873
261,2012/1/11 21:00,3572,3572
262,2012/1/11 22:00,3237,3237
263,2012/1/11 23:00,2977,2977
264,2012/1/12 0:00,2812,2812
265,2012/1/12 1:00,2709,2709
266,2012/1/12 2:00,2667,2667
267,2012/1/12 3:00,2668,2668
268,2012/1/12 4:00,2748,2748
269,2012/1/12 5:00,3009,3009
270,2012/1/12 6:00,3403,3403
271,2012/1/12 7:00,3675,3675
272,2012/1/12 8:00,3769,3769
273,2012/1/12 9:00,3844,3844
274,2012/1/12 10:00,3928,3928
275,2012/1/12 11:00,3977,3977
276,2012/1/12 12:00,3956,3956
277,2012/1/12 13:00,3928,3928
278,2012/1/12 14:00,3875,3875
279,2012/1/12 15:00,3834,3834
280,2012/1/12 16:00,4020,4020
281,2012/1/12 17:00,4251,4251
282,2012/1/12 18:00,4207,4207
283,2012/1/12 19:00,4057,4057
284,2012/1/12 20:00,3844,3844
285,2012/1/12 21:00,3527,3527
286,2012/1/12 22:00,3192,3192
287,2012/1/12 23:00,2924,2924
288,2012/1/13 0:00,2747,2747
289,2012/1/13 1:00,2665,2665
290,2012/1/13 2:00,2629,2629
291,2012/1/13 3:00,2633,2633
292,2012/1/13 4:00,2715,2715
293,2012/1/13 5:00,2971,2971
294,2012/1/13 6:00,3418,3418
295,2012/1/13 7:00,3681,3681
296,2012/1/13 8:00,3768,3768
297,2012/1/13 9:00,3818,3818
298,2012/1/13 10:00,3856,3856
299,2012/1/13 11:00,3850,3850
300,2012/1/13 12:00,3809,3809
301,2012/1/13 13:00,3764,3764
302,2012/1/13 14:00,3680,3680
303,2012/1/13 15:00,3656,3656
304,2012/1/13 16:00,3858,3858
305,2012/1/13 17:00,4091,4091
306,2012/1/13 18:00,4052,4052
307,2012/1/13 19:00,3951,3951
308,2012/1/13 20:00,3822,3822
309,2012/1/13 21:00,3610,3610
310,2012/1/13 22:00,3355,3355
311,2012/1/13 23:00,3104,3104
312,2012/1/14 0:00,2909,2909
313,2012/1/14 1:00,2805,2805
314,2012/1/14 2:00,2751,2751
315,2012/1/14 3:00,2744,2744
316,2012/1/14 4:00,2784,2784
317,2012/1/14 5:00,2894,2894
318,2012/1/14 6:00,3096,3096
319,2012/1/14 7:00,3344,3344
320,2012/1/14 8:00,3573,3573
321,2012/1/14 9:00,3751,3751
322,2012/1/14 10:00,3815,3815
323,2012/1/14 11:00,3798,3798
324,2012/1/14 12:00,3737,3737
325,2012/1/14 13:00,3677,3677
326,2012/1/14 14:00,3666,3666
327,2012/1/14 15:00,3694,3694
328,2012/1/14 16:00,3963,3963
329,2012/1/14 17:00,4248,4248
330,2012/1/14 18:00,4210,4210
331,2012/1/14 19:00,4119,4119
332,2012/1/14 20:00,3972,3972
333,2012/1/14 21:00,3795,3795
334,2012/1/14 22:00,3594,3594
335,2012/1/14 23:00,3361,3361
336,2012/1/15 0:00,3153,3153
337,2012/1/15 1:00,3051,3051
338,2012/1/15 2:00,3012,3012
339,2012/1/15 3:00,3012,3012
340,2012/1/15 4:00,3046,3046
341,2012/1/15 5:00,3128,3128
342,2012/1/15 6:00,3271,3271
343,2012/1/15 7:00,3476,3476
344,2012/1/15 8:00,3725,3725
345,2012/1/15 9:00,3874,3874
346,2012/1/15 10:00,3954,3954
347,2012/1/15 11:00,3945,3945
348,2012/1/15 12:00,3924,3924
349,2012/1/15 13:00,3863,3863
350,2012/1/15 14:00,3845,3845
351,2012/1/15 15:00,3871,3871
352,2012/1/15 16:00,4160,4160
353,2012/1/15 17:00,4441,4441
354,2012/1/15 18:00,4405,4405
355,2012/1/15 19:00,4253,4253
356,2012/1/15 20:00,4113,4113
357,2012/1/15 21:00,3853,3853
358,2012/1/15 22:00,3579,3579
359,2012/1/15 23:00,3365,3365
360,2012/1/16 0:00,3220,3220
361,2012/1/16 1:00,3138,3138
362,2012/1/16 2:00,3114,3114
363,2012/1/16 3:00,3124,3124
364,2012/1/16 4:00,3209,3209
365,2012/1/16 5:00,3414,3414
366,2012/1/16 6:00,3759,3759
367,2012/1/16 7:00,4001,4001
368,2012/1/16 8:00,4147,4147
369,2012/1/16 9:00,4215,4215
370,2012/1/16 10:00,4242,4242
371,2012/1/16 11:00,4187,4187
372,2012/1/16 12:00,4083,4083
373,2012/1/16 13:00,4028,4028
374,2012/1/16 14:00,3972,3972
375,2012/1/16 15:00,3961,3961
376,2012/1/16 16:00,4193,4193
377,2012/1/16 17:00,4433,4433
378,2012/1/16 18:00,4370,4370
379,2012/1/16 19:00,4230,4230
380,2012/1/16 20:00,4018,4018
381,2012/1/16 21:00,3707,3707
382,2012/1/16 22:00,3372,3372
383,2012/1/16 23:00,3091,3091
384,2012/1/17 0:00,2915,2915
385,2012/1/17 1:00,2799,2799
386,2012/1/17 2:00,2757,2757
387,2012/1/17 3:00,2753,2753
388,2012/1/17 4:00,2839,2839
389,2012/1/17 5:00,3121,3121
390,2012/1/17 6:00,3574,3574
391,2012/1/17 7:00,3775,3775
392,2012/1/17 8:00,3783,3783
393,2012/1/17 9:00,3770,3770
394,2012/1/17 10:00,3761,3761
395,2012/1/17 11:00,3758,3758
396,2012/1/17 12:00,3722,3722
397,2012/1/17 13:00,3704,3704
398,2012/1/17 14:00,3687,3687
399,2012/1/17 15:00,3728,3728
400,2012/1/17 16:00,3967,3967
401,2012/1/17 17:00,4153,4153
402,2012/1/17 18:00,4103,4103
403,2012/1/17 19:00,3974,3974
404,2012/1/17 20:00,3752,3752
405,2012/1/17 21:00,3454,3454
406,2012/1/17 22:00,3114,3114
407,2012/1/17 23:00,2836,2836
408,2012/1/18 0:00,2670,2670
409,2012/1/18 1:00,2581,2581
410,2012/1/18 2:00,2541,2541
411,2012/1/18 3:00,2542,2542
412,2012/1/18 4:00,2653,2653
413,2012/1/18 5:00,2932,2932
414,2012/1/18 6:00,3415,3415
415,2012/1/18 7:00,3634,3634
416,2012/1/18 8:00,3654,3654
417,2012/1/18 9:00,3680,3680
418,2012/1/18 10:00,3709,3709
419,2012/1/18 11:00,3714,3714
420,2012/1/18 12:00,3692,3692
421,2012/1/18 13:00,3691,3691
422,2012/1/18 14:00,3682,3682
423,2012/1/18 15:00,3712,3712
424,2012/1/18 16:00,3981,3981
425,2012/1/18 17:00,4332,4332
426,2012/1/18 18:00,4356,4356
427,2012/1/18 19:00,4276,4276
428,2012/1/18 20:00,4080,4080
429,2012/1/18 21:00,3826,3826
430,2012/1/18 22:00,3547,3547
431,2012/1/18 23:00,3292,3292
432,2012/1/19 0:00,3144,3144
433,2012/1/19 1:00,3058,3058
434,2012/1/19 2:00,3023,3023
435,2012/1/19 3:00,3032,3032
436,2012/1/19 4:00,3141,3141
437,2012/1/19 5:00,3429,3429
438,2012/1/19 6:00,3942,3942
439,2012/1/19 7:00,4138,4138
440,2012/1/19 8:00,4107,4107
441,2012/1/19 9:00,4100,4100
442,2012/1/19 10:00,4072,4072
443,2012/1/19 11:00,4016,4016
444,2012/1/19 12:00,3937,3937
445,2012/1/19 13:00,3883,3883
446,2012/1/19 14:00,3823,3823
447,2012/1/19 15:00,3857,3857
448,2012/1/19 16:00,4089,4089
449,2012/1/19 17:00,4367,4367
450,2012/1/19 18:00,4327,4327
451,2012/1/19 19:00,4244,4244
452,2012/1/19 20:00,4046,4046
453,2012/1/19 21:00,3769,3769
454,2012/1/19 22:00,3459,3459
455,2012/1/19 23:00,3187,3187
456,2012/1/20 0:00,3005,3005
457,2012/1/20 1:00,2895,2895
458,2012/1/20 2:00,2848,2848
459,2012/1/20 3:00,2853,2853
460,2012/1/20 4:00,2954,2954
461,2012/1/20 5:00,3214,3214
462,2012/1/20 6:00,3684,3684
463,2012/1/20 7:00,3894,3894
464,2012/1/20 8:00,3913,3913
465,2012/1/20 9:00,3923,3923
466,2012/1/20 10:00,3925,3925
467,2012/1/20 11:00,3901,3901
468,2012/1/20 12:00,3856,3856
469,2012/1/20 13:00,3826,3826
470,2012/1/20 14:00,3778,3778
471,2012/1/20 15:00,3778,3778
472,2012/1/20 16:00,3940,3940
473,2012/1/20 17:00,4220,4220
474,2012/1/20 18:00,4198,4198
475,2012/1/20 19:00,4092,4092
476,2012/1/20 20:00,3942,3942
477,2012/1/20 21:00,3758,3758
478,2012/1/20 22:00,3492,3492
479,2012/1/20 23:00,3240,3240
480,2012/1/21 0:00,3075,3075
481,2012/1/21 1:00,2977,2977
482,2012/1/21 2:00,2915,2915
483,2012/1/21 3:00,2877,2877
484,2012/1/21 4:00,2914,2914
485,2012/1/21 5:00,3009,3009
486,2012/1/21 6:00,3224,3224
487,2012/1/21 7:00,3460,3460
488,2012/1/21 8:00,3702,3702
489,2012/1/21 9:00,3895,3895
490,2012/1/21 10:00,3975,3975
491,2012/1/21 11:00,3972,3972
492,2012/1/21 12:00,3933,3933
493,2012/1/21 13:00,3868,3868
494,2012/1/21 14:00,3816,3816
495,2012/1/21 15:00,3804,3804
496,2012/1/21 16:00,3961,3961
497,2012/1/21 17:00,4185,4185
498,2012/1/21 18:00,4137,4137
499,2012/1/21 19:00,4002,4002
500,2012/1/21 20:00,3871,3871
501,2012/1/21 21:00,3674,3674
502,2012/1/21 22:00,3428,3428
503,2012/1/21 23:00,3195,3195
504,2012/1/22 0:00,3030,3630
505,2012/1/22 1:00,2957,2957
506,2012/1/22 2:00,2933,2933
507,2012/1/22 3:00,2906,2906
508,2012/1/22 4:00,2932,2932
509,2012/1/22 5:00,3021,3021
510,2012/1/22 6:00,3194,3194
511,2012/1/22 7:00,3394,3394
512,2012/1/22 8:00,3628,3628
513,2012/1/22 9:00,3744,3744
514,2012/1/22 10:00,3783,3783
515,2012/1/22 11:00,3737,3737
516,2012/1/22 12:00,3673,3673
517,2012/1/22 13:00,3614,3614
518,2012/1/22 14:00,3600,3600
519,2012/1/22 15:00,3589,3589
520,2012/1/22 16:00,3774,3774
521,2012/1/22 17:00,4022,4022
522,2012/1/22 18:00,4021,4021
523,2012/1/22 19:00,3922,3922
524,2012/1/22 20:00,3752,3752
525,2012/1/22 21:00,3488,3488
526,2012/1/22 22:00,3212,3212
527,2012/1/22 23:00,2971,2971
528,2012/1/23 0:00,2808,2808
529,2012/1/23 1:00,2722,2722
530,2012/1/23 2:00,2684,2684
531,2012/1/23 3:00,2697,2697
532,2012/1/23 4:00,2791,2791
533,2012/1/23 5:00,3069,3069
534,2012/1/23 6:00,3544,3544
535,2012/1/23 7:00,3769,3769
536,2012/1/23 8:00,3813,3513
537,2012/1/23 9:00,3859,3859
538,2012/1/23 10:00,3894,3894
539,2012/1/23 11:00,3899,3899
540,2012/1/23 12:00,3853,3853
541,2012/1/23 13:00,3817,3817
542,2012/1/23 14:00,3764,3764
543,2012/1/23 15:00,3777,3777
544,2012/1/23 16:00,3952,3952
545,2012/1/23 17:00,4172,4172
546,2012/1/23 18:00,4130,4130
547,2012/1/23 19:00,3984,3984
548,2012/1/23 20:00,3764,3764
549,2012/1/23 21:00,3466,3466
550,2012/1/23 22:00,3131,3131
551,2012/1/23 23:00,2862,2862
552,2012/1/24 0:00,2708,2708
553,2012/1/24 1:00,2582,2582
554,2012/1/24 2:00,2534,2534
555,2012/1/24 3:00,2528,2528
556,2012/1/24 4:00,2624,2624
557,2012/1/24 5:00,2889,2889
558,2012/1/24 6:00,3363,3363
559,2012/1/24 7:00,3590,3590
560,2012/1/24 8:00,3608,3608
561,2012/1/24 9:00,3602,3602
562,2012/1/24 10:00,3619,3619
563,2012/1/24 11:00,3610,3610
564,2012/1/24 12:00,3568,3568
565,2012/1/24 13:00,3538,3538
566,2012/1/24 14:00,3505,3505
567,2012/1/24 15:00,3510,3510
568,2012/1/24 16:00,3708,3708
569,2012/1/24 17:00,3984,3984
570,2012/1/24 18:00,3966,3966
571,2012/1/24 19:00,3842,3842
572,2012/1/24 20:00,3666,3666
573,2012/1/24 21:00,3369,3369
574,2012/1/24 22:00,3078,3078
575,2012/1/24 23:00,2813,2813
576,2012/1/25 0:00,2653,2653
577,2012/1/25 1:00,2563,2563
578,2012/1/25 2:00,2521,2521
579,2012/1/25 3:00,2537,2537
580,2012/1/25 4:00,2627,2627
581,2012/1/25 5:00,2917,2917
582,2012/1/25 6:00,3407,3407
583,2012/1/25 7:00,3657,3657
584,2012/1/25 8:00,3655,3655
585,2012/1/25 9:00,3684,3684
586,2012/1/25 10:00,3696,3696
587,2012/1/25 11:00,3698,3698
588,2012/1/25 12:00,3658,3658
589,2012/1/25 13:00,3628,3628
590,2012/1/25 14:00,3574,3574
591,2012/1/25 15:00,3579,3579
592,2012/1/25 16:00,3757,3757
593,2012/1/25 17:00,4098,4098
594,2012/1/25 18:00,4107,4107
595,2012/1/25 19:00,4001,4001
596,2012/1/25 20:00,3824,3824
597,2012/1/25 21:00,3536,3536
598,2012/1/25 22:00,3214,3214
599,2012/1/25 23:00,2952,2952
600,2012/1/26 0:00,2786,2786
601,2012/1/26 1:00,2701,2701
602,2012/1/26 2:00,2669,2669
603,2012/1/26 3:00,2670,2670
604,2012/1/26 4:00,2778,2778
605,2012/1/26 5:00,3050,3050
606,2012/1/26 6:00,3560,3560
607,2012/1/26 7:00,3768,3768
608,2012/1/26 8:00,3736,3736
609,2012/1/26 9:00,3707,3707
610,2012/1/26 10:00,3687,3687
611,2012/1/26 11:00,3629,3629
612,2012/1/26 12:00,3567,3567
613,2012/1/26 13:00,3548,3548
614,2012/1/26 14:00,3524,3524
615,2012/1/26 15:00,3533,3533
616,2012/1/26 16:00,3733,3733
617,2012/1/26 17:00,4031,4031
618,2012/1/26 18:00,4025,4025
619,2012/1/26 19:00,3921,3921
620,2012/1/26 20:00,3750,3750
621,2012/1/26 21:00,3471,3471
622,2012/1/26 22:00,3163,3163
623,2012/1/26 23:00,2899,2899
624,2012/1/27 0:00,2736,2736
625,2012/1/27 1:00,2627,2627
626,2012/1/27 2:00,2597,2597
627,2012/1/27 3:00,2568,2568
628,2012/1/27 4:00,2663,2663
629,2012/1/27 5:00,2919,2919
630,2012/1/27 6:00,3325,3325
631,2012/1/27 7:00,3604,3604
632,2012/1/27 8:00,3708,3708
633,2012/1/27 9:00,3784,3784
634,2012/1/27 10:00,3843,3843
635,2012/1/27 11:00,3856,3856
636,2012/1/27 12:00,3810,3810
637,2012/1/27 13:00,3772,3772
638,2012/1/27 14:00,3703,3703
639,2012/1/27 15:00,3680,3680
640,2012/1/27 16:00,3814,3814
641,2012/1/27 17:00,3983,3983
642,2012/1/27 18:00,3924,3924
643,2012/1/27 19:00,3779,3779
644,2012/1/27 20:00,3599,3599
645,2012/1/27 21:00,3385,3385
646,2012/1/27 22:00,3111,3111
647,2012/1/27 23:00,2864,2864
648,2012/1/28 0:00,2679,2679
649,2012/1/28 1:00,2570,2570
650,2012/1/28 2:00,2512,2512
651,2012/1/28 3:00,2505,2505
652,2012/1/28 4:00,2537,2537
653,2012/1/28 5:00,2657,2657
654,2012/1/28 6:00,2856,2856
655,2012/1/28 7:00,3079,3079
656,2012/1/28 8:00,3292,3292
657,2012/1/28 9:00,3416,3416
658,2012/1/28 10:00,3440,3440
659,2012/1/28 11:00,3408,3408
660,2012/1/28 12:00,3349,3349
661,2012/1/28 13:00,3269,3269
662,2012/1/28 14:00,3216,3216
663,2012/1/28 15:00,3210,3210
664,2012/1/28 16:00,3398,3398
665,2012/1/28 17:00,3726,3726
666,2012/1/28 18:00,3723,3723
667,2012/1/28 19:00,3588,3588
668,2012/1/28 20:00,3447,3447
669,2012/1/28 21:00,3243,3243
670,2012/1/28 22:00,3021,3021
671,2012/1/28 23:00,2787,2787
672,2012/1/29 0:00,2615,2615
673,2012/1/29 1:00,2541,2541
674,2012/1/29 2:00,2502,2502
675,2012/1/29 3:00,2488,2488
676,2012/1/29 4:00,2529,2529
677,2012/1/29 5:00,2610,2610
678,2012/1/29 6:00,2767,2767
679,2012/1/29 7:00,2959,2959
680,2012/1/29 8:00,3209,3209
681,2012/1/29 9:00,3351,3351
682,2012/1/29 10:00,3404,3404
683,2012/1/29 11:00,3419,3419
684,2012/1/29 12:00,3393,3393
685,2012/1/29 13:00,3352,3352
686,2012/1/29 14:00,3303,3303
687,2012/1/29 15:00,3315,3315
688,2012/1/29 16:00,3524,3524
689,2012/1/29 17:00,3898,3898
690,2012/1/29 18:00,3907,3907
691,2012/1/29 19:00,3770,3770
692,2012/1/29 20:00,3587,3587
693,2012/1/29 21:00,3322,3322
694,2012/1/29 22:00,3038,3038
695,2012/1/29 23:00,2822,2822
696,2012/1/30 0:00,2677,2677
697,2012/1/30 1:00,2615,2615
698,2012/1/30 2:00,2602,2602
699,2012/1/30 3:00,2619,2619
700,2012/1/30 4:00,2732,2732
701,2012/1/30 5:00,3000,3000
702,2012/1/30 6:00,3514,3514
703,2012/1/30 7:00,3753,3753
704,2012/1/30 8:00,3773,3773
705,2012/1/30 9:00,3794,3794
706,2012/1/30 10:00,3813,3813
707,2012/1/30 11:00,3781,3781
708,2012/1/30 12:00,3739,3739
709,2012/1/30 13:00,3694,3694
710,2012/1/30 14:00,3645,3645
711,2012/1/30 15:00,3673,3673
712,2012/1/30 16:00,3836,3836
713,2012/1/30 17:00,4177,4177
714,2012/1/30 18:00,4214,4214
715,2012/1/30 19:00,4094,4094
716,2012/1/30 20:00,3914,3914
717,2012/1/30 21:00,3627,3627
718,2012/1/30 22:00,3311,3311
719,2012/1/30 23:00,3046,3046
720,2012/1/31 0:00,2896,2896
721,2012/1/31 1:00,2807,2807
722,2012/1/31 2:00,2758,2758
723,2012/1/31 3:00,2749,2749
724,2012/1/31 4:00,2843,2843
725,2012/1/31 5:00,3110,3110
726,2012/1/31 6:00,3585,3585
727,2012/1/31 7:00,3809,3809
728,2012/1/31 8:00,3824,3824
729,2012/1/31 9:00,3829,3829
730,2012/1/31 10:00,3842,3842
731,2012/1/31 11:00,3831,3831
732,2012/1/31 12:00,3789,3789
733,2012/1/31 13:00,3762,3762
734,2012/1/31 14:00,3696,3696
