load,temp
3201.0,20.67
3643.0,22.0
3887.0,23.67
3907.0,24.0
3929.0,25.33
3942.0,26.0
3902.0,28.0
3840.0,29.67
3782.0,30.0
3722.0,31.33
3751.0,31.67
3955.0,32.0
4109.0,31.0
4032.0,30.0
3926.0,30.33
3740.0,29.67
3521.0,29.67
3244.0,27.33
2981.0,27.67
2790.0,27.67
2685.0,29.0
2624.0,26.0
2604.0,26.33
2633.0,26.67
2724.0,26.33
2914.0,26.0
3128.0,25.33
3329.0,26.67
3466.0,29.33
3505.0,32.0
3473.0,34.33
3411.0,37.67
3359.0,39.33
3344.0,39.67
3394.0,39.0
3630.0,38.33
3817.0,36.33
3746.0,33.33
3609.0,32.33
3487.0,31.0
3285.0,29.67
3062.0,30.0
2850.0,37.33
2654.0,32.33
2567.0,30.67
2504.0,29.33
2506.0,28.67
2535.0,28.33
2612.0,30.0
2771.0,31.33
2976.0,28.0
3215.0,29.33
3363.0,32.33
3463.0,36.0
3496.0,35.0
3507.0,35.67
3481.0,34.0
3476.0,34.0
3523.0,32.67
3823.0,32.33
4070.0,31.0
4024.0,29.0
3887.0,26.33
3711.0,25.33
3465.0,24.33
3183.0,22.67
2955.0,21.33
2820.0,20.67
2759.0,19.33
2739.0,18.67
2740.0,18.67
2851.0,18.0
3142.0,18.0
3643.0,18.67
3896.0,18.0
3900.0,19.33
3910.0,22.33
3921.0,24.67
3888.0,27.0
3826.0,29.33
3782.0,30.0
3721.0,32.67
3721.0,33.67
3987.0,32.67
4270.0,30.67
4244.0,30.33
4112.0,30.33
3925.0,28.33
3635.0,28.0
3317.0,28.33
3069.0,29.0
2908.0,30.0
2836.0,29.67
2788.0,30.0
2788.0,30.67
2860.0,31.33
3113.0,31.67
3589.0,30.67
3813.0,30.0
3822.0,30.33
3849.0,31.33
3869.0,33.0
3844.0,35.33
3781.0,37.0
3747.0,38.67
3686.0,40.0
3689.0,39.67
3956.0,39.0
4182.0,37.33
4159.0,35.33
4061.0,33.0
3890.0,32.0
3612.0,29.67
3286.0,28.33
3030.0,28.33
2872.0,27.67
2796.0,25.33
2766.0,25.33
2784.0,23.67
2887.0,22.33
3185.0,20.67
3661.0,19.67
3875.0,19.0
3861.0,18.67
3833.0,21.0
3822.0,23.33
3794.0,25.33
3734.0,27.0
3720.0,28.33
3693.0,28.67
3721.0,28.33
3977.0,27.33
4186.0,27.33
4152.0,27.0
4043.0,26.67
3873.0,26.33
3572.0,25.67
3237.0,26.67
2977.0,26.67
2812.0,27.67
2709.0,27.0
2667.0,27.33
2668.0,27.67
2748.0,30.67
3009.0,31.33
3403.0,30.67
3675.0,29.67
3769.0,29.0
3844.0,28.0
3928.0,29.0
3977.0,28.67
3956.0,28.0
3928.0,28.67
3875.0,29.67
3834.0,30.33
4020.0,30.33
4251.0,30.67
4207.0,30.0
4057.0,30.0
3844.0,30.33
3527.0,30.33
3192.0,30.0
2924.0,29.67
2747.0,30.0
2665.0,29.67
2629.0,29.67
2633.0,29.67
2715.0,30.0
2971.0,30.0
3418.0,30.0
3681.0,29.33
3768.0,29.33
3818.0,30.33
3856.0,30.67
3850.0,32.33
3809.0,32.67
3764.0,32.0
3680.0,33.67
3656.0,35.0
3858.0,33.33
4091.0,31.33
4052.0,29.33
3951.0,28.33
3822.0,27.33
3610.0,28.0
3355.0,28.0
3104.0,29.0
2909.0,29.0
2805.0,28.67
2751.0,28.0
2744.0,27.33
2784.0,26.33
2894.0,25.67
3096.0,24.33
3344.0,23.0
3573.0,22.33
3751.0,21.67
3815.0,20.33
3798.0,20.0
3737.0,19.67
3677.0,19.0
3666.0,18.33
3694.0,18.0
3963.0,17.0
4248.0,14.0
4210.0,12.0
4119.0,11.0
3972.0,9.67
3795.0,8.33
3594.0,7.67
3361.0,6.0
3153.0,4.33
3051.0,3.33
3012.0,2.0
3012.0,1.0
3046.0,1.0
3128.0,0.0
3271.0,0.0
3476.0,-0.33
3725.0,-0.33
3874.0,1.33
3954.0,3.67
3945.0,5.33
3924.0,7.0
3863.0,8.67
3845.0,8.67
3871.0,9.0
4160.0,9.0
4441.0,6.67
4405.0,5.67
4253.0,4.0
4113.0,3.0
3853.0,1.0
3579.0,0.67
3365.0,0.0
3220.0,0.0
3138.0,0.0
3114.0,-0.67
3124.0,-1.33
3209.0,-2.0
3414.0,-2.33
3759.0,-4.67
4001.0,-4.0
4147.0,-3.67
4215.0,1.33
4242.0,9.0
4187.0,13.0
4083.0,16.67
4028.0,20.33
3972.0,22.67
3961.0,23.33
4193.0,24.0
4433.0,24.0
4370.0,23.0
4230.0,24.33
4018.0,26.67
3707.0,26.67
3372.0,27.33
3091.0,28.67
2915.0,29.0
2799.0,29.0
2757.0,29.0
2753.0,29.33
2839.0,29.67
3121.0,29.33
3574.0,29.33
3775.0,29.67
3783.0,29.0
3770.0,30.67
3761.0,32.33
3758.0,33.67
3722.0,35.0
3704.0,36.33
3687.0,35.67
3728.0,35.33
3967.0,34.67
4153.0,35.0
4103.0,34.67
3974.0,36.67
3752.0,37.33
3454.0,37.67
3114.0,38.0
2836.0,39.0
2670.0,39.33
2581.0,39.67
2541.0,41.67
2542.0,41.33
2653.0,39.0
2932.0,37.33
3415.0,35.0
3634.0,33.33
3654.0,31.67
3680.0,30.0
3709.0,29.67
3714.0,28.67
3692.0,28.0
3691.0,27.33
3682.0,26.67
3712.0,25.33
3981.0,24.0
4332.0,21.67
4356.0,19.0
4276.0,18.0
4080.0,17.33
3826.0,16.0
3547.0,15.0
3292.0,13.33
3144.0,11.33
3058.0,11.0
3023.0,9.67
3032.0,8.0
3141.0,6.0
3429.0,6.33
3942.0,5.0
4138.0,4.67
4107.0,5.33
4100.0,11.67
4072.0,16.0
4016.0,18.33
3937.0,20.67
3883.0,23.33
3823.0,24.67
3857.0,25.0
4089.0,24.0
4367.0,24.67
4327.0,25.0
4244.0,25.0
4046.0,25.33
3769.0,25.33
3459.0,26.0
3187.0,25.33
3005.0,26.33
2895.0,26.33
2848.0,27.33
2853.0,23.0
2954.0,22.0
3214.0,18.67
3684.0,17.33
3894.0,16.33
3913.0,15.33
3923.0,18.0
3925.0,20.0
3901.0,23.0
3856.0,25.0
3826.0,24.67
3778.0,24.0
3778.0,23.67
3940.0,22.0
4220.0,19.67
4198.0,17.0
4092.0,15.67
3942.0,14.0
3758.0,12.33
3492.0,12.33
3240.0,11.0
3075.0,10.67
2977.0,10.0
2915.0,10.0
2877.0,11.0
2914.0,11.33
3009.0,11.67
3224.0,11.67
3460.0,11.67
3702.0,11.0
3895.0,11.33
3975.0,12.0
3972.0,13.0
3933.0,14.0
3868.0,14.67
3816.0,15.67
3804.0,17.0
3961.0,17.0
4185.0,15.0
4137.0,14.0
4002.0,12.67
3871.0,10.67
3674.0,9.33
3428.0,7.0
3195.0,6.33
3030.0,3.67
2957.0,2.67
2933.0,0.33
2906.0,1.33
2932.0,-0.33
3021.0,-1.33
3194.0,-1.33
3394.0,-2.67
3628.0,-0.33
3744.0,3.67
3783.0,10.0
3737.0,15.67
3673.0,19.0
3614.0,22.0
3600.0,23.33
3589.0,23.67
3774.0,24.0
4022.0,22.0
4021.0,20.0
3922.0,19.0
3752.0,18.33
3488.0,19.33
3212.0,20.33
2971.0,23.0
2808.0,22.67
2722.0,24.0
2684.0,24.33
2697.0,24.33
2791.0,24.67
3069.0,25.33
3544.0,25.67
3769.0,27.0
3813.0,28.0
3859.0,28.67
3894.0,30.0
3899.0,32.0
3853.0,33.33
3817.0,34.67
3764.0,34.67
3777.0,34.67
3952.0,34.33
4172.0,34.33
4130.0,33.67
3984.0,34.67
3764.0,34.67
3466.0,37.67
3131.0,38.33
2862.0,39.33
2708.0,40.33
2582.0,41.33
2534.0,41.0
2528.0,41.0
2624.0,41.33
2889.0,39.33
3363.0,37.67
3590.0,35.67
3608.0,36.33
3602.0,37.0
3619.0,38.0
3610.0,39.0
3568.0,43.0
3538.0,46.33
3505.0,45.67
3510.0,45.33
3708.0,43.0
3984.0,42.33
3966.0,41.0
3842.0,39.33
3666.0,39.0
3369.0,38.33
3078.0,38.33
2813.0,37.67
2653.0,37.0
2563.0,36.33
2521.0,35.0
2537.0,34.33
2627.0,33.67
2917.0,33.67
3407.0,33.67
3657.0,33.33
3655.0,33.67
3684.0,34.0
3696.0,34.67
3698.0,34.33
3658.0,34.67
3628.0,35.33
3574.0,36.0
3579.0,36.0
3757.0,35.0
4098.0,33.0
4107.0,31.67
4001.0,30.67
3824.0,30.0
3536.0,29.67
3214.0,29.67
2952.0,29.67
2786.0,29.33
2701.0,29.33
2669.0,28.67
2670.0,28.33
2778.0,28.0
3050.0,27.33
3560.0,27.0
3768.0,25.67
3736.0,25.33
3707.0,28.67
3687.0,31.0
3629.0,33.33
3567.0,35.33
3548.0,35.33
3524.0,36.33
3533.0,35.33
3733.0,34.33
4031.0,34.0
4025.0,33.33
3921.0,32.0
3750.0,31.0
3471.0,31.0
3163.0,30.67
2899.0,30.33
2736.0,31.0
2627.0,32.33
2597.0,32.67
2568.0,32.67
2663.0,33.33
2919.0,34.0
3325.0,34.0
3604.0,34.67
3708.0,35.0
3784.0,35.67
3843.0,36.33
3856.0,37.33
3810.0,37.67
3772.0,36.67
3703.0,36.33
3680.0,36.67
3814.0,36.67
3983.0,35.67
3924.0,35.33
3779.0,34.33
3599.0,35.0
3385.0,35.67
3111.0,35.67
2864.0,36.0
2679.0,35.67
2570.0,36.33
2512.0,35.67
2505.0,36.0
2537.0,35.33
2657.0,35.0
2856.0,34.0
3079.0,33.67
3292.0,33.0
3416.0,36.0
3440.0,37.0
3408.0,38.67
3349.0,40.0
3269.0,40.33
3216.0,41.0
3210.0,40.67
3398.0,39.67
3726.0,38.33
3723.0,37.33
3588.0,36.67
3447.0,36.33
3243.0,37.0
3021.0,35.0
2787.0,36.67
2615.0,36.0
2541.0,34.67
2502.0,34.33
2488.0,34.0
2529.0,33.33
2610.0,32.67
2767.0,32.0
2959.0,31.33
3209.0,31.67
3351.0,32.0
3404.0,34.0
3419.0,35.0
3393.0,35.67
3352.0,37.67
3303.0,38.33
3315.0,38.67
3524.0,37.67
3898.0,35.67
3907.0,32.33
3770.0,32.67
3587.0,30.0
3322.0,30.67
3038.0,32.33
2822.0,29.33
2677.0,28.0
2615.0,27.33
2602.0,27.33
2619.0,28.33
2732.0,28.67
3000.0,28.33
3514.0,27.67
3753.0,26.67
3773.0,26.33
3794.0,28.0
3813.0,28.0
3781.0,29.67
3739.0,31.0
3694.0,31.67
3645.0,30.0
3673.0,30.0
3836.0,30.0
4177.0,28.0
4214.0,26.67
4094.0,25.67
3914.0,24.67
3627.0,22.67
3311.0,21.0
3046.0,20.67
2896.0,20.67
2807.0,21.33
2758.0,21.33
2749.0,22.0
2843.0,22.67
3110.0,23.0
3585.0,24.0
3809.0,24.0
3824.0,24.67
3829.0,25.33
3842.0,26.33
3831.0,27.33
3789.0,28.0
3762.0,28.67
3696.0,29.33
3666.0,29.67
3808.0,29.33
4098.0,29.67
4101.0,29.0
3979.0,29.0
3773.0,28.67
3478.0,28.67
3148.0,28.67
2888.0,28.33
2728.0,28.0
2629.0,28.0
2589.0,28.0
2597.0,30.33
2681.0,31.67
2966.0,32.0
3456.0,32.33
3693.0,32.67
3690.0,31.67
3706.0,33.33
3733.0,34.33
3738.0,35.0
3696.0,36.0
3654.0,37.0
3586.0,37.33
3557.0,38.33
3681.0,39.67
3983.0,38.0
4004.0,33.67
3890.0,33.0
3706.0,35.0
3416.0,38.0
3090.0,36.33
2814.0,33.33
2639.0,33.33
2545.0,33.33
2502.0,33.67
2510.0,33.0
2603.0,32.67
2888.0,32.33
3398.0,31.0
3616.0,30.33
3634.0,29.67
3667.0,29.67
3713.0,30.0
3701.0,30.33
3671.0,31.0
3664.0,30.33
3642.0,30.33
3648.0,28.67
3800.0,28.33
4064.0,27.33
4084.0,26.0
3997.0,25.67
3831.0,25.33
3562.0,24.0
3256.0,24.0
3010.0,23.33
2837.0,22.67
2746.0,21.67
2723.0,21.0
2733.0,19.67
2829.0,19.0
3114.0,19.0
3602.0,18.67
3809.0,17.33
3817.0,19.0
3798.0,21.67
3782.0,23.67
3749.0,26.67
3675.0,30.0
3628.0,31.33
3568.0,31.67
3550.0,32.33
3663.0,32.33
3937.0,30.33
3956.0,30.33
3859.0,27.67
3716.0,27.0
3502.0,27.33
3254.0,28.0
2967.0,28.67
2777.0,27.33
2677.0,26.33
2624.0,26.0
2607.0,25.67
2639.0,26.0
2744.0,24.33
2964.0,23.33
3203.0,22.67
3420.0,24.0
3542.0,26.67
3569.0,27.67
3522.0,29.67
3445.0,30.33
3369.0,31.33
3323.0,31.0
3330.0,32.33
3487.0,30.67
3832.0,28.0
3890.0,26.0
3784.0,24.0
3653.0,23.0
3439.0,21.33
3211.0,19.33
2992.0,18.33
2837.0,17.67
2754.0,16.67
2714.0,15.0
2705.0,14.33
2733.0,13.67
2824.0,12.67
2980.0,11.67
3191.0,10.33
3433.0,14.0
3547.0,17.67
3577.0,21.0
3565.0,24.33
3514.0,27.33
3435.0,29.67
3387.0,31.33
3416.0,31.33
3585.0,30.67
3903.0,28.67
3813.0,28.33
3595.0,27.33
3486.0,26.0
3289.0,26.0
3165.0,23.67
2897.0,22.67
2722.0,24.33
2638.0,24.33
2604.0,22.67
2604.0,23.33
2686.0,25.0
2960.0,25.67
3443.0,26.33
3662.0,26.0
3696.0,28.67
3695.0,33.33
3668.0,36.67
3635.0,40.0
3566.0,41.67
3511.0,45.33
3445.0,46.67
3413.0,48.67
3532.0,48.67
3869.0,46.33
3944.0,42.33
3813.0,41.33
3618.0,40.33
3336.0,40.0
3038.0,39.33
2768.0,35.33
2612.0,33.33
2532.0,31.67
2494.0,30.67
2496.0,29.0
2596.0,30.0
2875.0,30.67
3349.0,32.67
3556.0,31.33
3572.0,34.0
3584.0,34.33
3603.0,35.33
3579.0,36.0
3530.0,37.33
3517.0,36.33
3480.0,37.0
3498.0,35.33
3631.0,34.33
3968.0,32.0
4047.0,30.0
3968.0,27.67
3807.0,26.0
3546.0,24.67
3238.0,23.0
2987.0,21.33
2841.0,20.0
2770.0,18.0
2754.0,17.0
2763.0,16.67
2869.0,15.0
3160.0,15.0
3665.0,13.0
3854.0,12.33
3845.0,16.33
3801.0,20.67
3738.0,23.33
3693.0,26.33
3623.0,28.0
3586.0,31.0
3510.0,32.67
3528.0,34.33
3666.0,33.67
3988.0,31.67
4051.0,30.67
3958.0,30.67
3789.0,30.0
3503.0,29.0
3168.0,29.67
2916.0,28.33
2750.0,27.67
2673.0,27.33
2641.0,25.33
2643.0,25.0
2741.0,23.67
3031.0,22.0
3534.0,21.0
3705.0,20.0
3688.0,22.67
3640.0,29.33
3600.0,33.0
3558.0,35.67
3489.0,38.33
3459.0,40.33
3407.0,42.67
3404.0,42.67
3520.0,42.0
3841.0,39.0
3931.0,36.33
3846.0,32.67
3697.0,27.33
3431.0,25.67
3119.0,24.33
2865.0,24.67
2719.0,23.33
2640.0,24.33
2603.0,23.33
2614.0,21.67
2716.0,20.67
3006.0,21.67
3481.0,21.0
3666.0,20.33
3652.0,22.33
3603.0,28.67
3578.0,35.0
3533.0,38.67
3456.0,41.33
3393.0,43.33
3348.0,44.0
3345.0,43.33
3462.0,42.0
3741.0,40.0
3763.0,38.33
3649.0,37.67
3494.0,36.67
3297.0,36.0
3046.0,35.0
2804.0,34.67
2632.0,34.33
2531.0,34.33
2454.0,34.33
2441.0,33.33
2485.0,32.0
2598.0,29.67
2812.0,28.0
3057.0,25.67
3301.0,25.33
3453.0,25.67
3495.0,26.67
3480.0,27.67
3419.0,28.33
3383.0,28.0
3350.0,27.33
3338.0,27.67
3455.0,27.0
3738.0,26.33
3793.0,24.67
3683.0,23.0
3554.0,23.0
3375.0,22.0
3144.0,20.67
2951.0,19.33
2814.0,16.33
2744.0,14.33
2711.0,12.67
2697.0,12.0
2737.0,11.33
2825.0,10.67
2989.0,10.0
3195.0,9.33
3446.0,10.67
3584.0,11.67
3650.0,13.0
3655.0,14.33
3618.0,16.33
3578.0,16.67
3534.0,15.67
3558.0,15.33
3743.0,15.0
4106.0,13.0
4193.0,11.67
4082.0,12.0
3904.0,11.0
3637.0,10.33
3347.0,10.67
3123.0,11.0
2986.0,11.0
2914.0,10.67
2901.0,10.33
2920.0,10.67
3023.0,11.33
3288.0,12.0
3766.0,13.0
3940.0,13.0
3929.0,16.0
3901.0,19.67
3863.0,24.33
3830.0,27.33
3765.0,31.67
3726.0,33.33
3666.0,35.0
3639.0,34.67
3725.0,35.0
4023.0,33.0
4136.0,31.67
4024.0,30.0
3853.0,28.67
3576.0,27.33
3238.0,26.67
2983.0,24.33
2823.0,25.0
2734.0,24.67
2723.0,25.0
2721.0,24.33
2825.0,23.0
3084.0,21.67
3568.0,19.67
3734.0,19.33
3731.0,23.0
3695.0,28.33
3692.0,31.33
3654.0,34.67
3593.0,36.0
3551.0,37.67
3499.0,39.0
3497.0,38.67
3585.0,39.67
3876.0,37.67
3969.0,34.33
3849.0,34.33
3680.0,33.0
3399.0,32.0
3071.0,32.0
2830.0,32.0
2669.0,33.0
2591.0,32.67
2555.0,32.0
2545.0,31.67
2640.0,30.67
2930.0,31.33
3398.0,30.33
3627.0,30.33
3649.0,31.67
3642.0,34.33
3655.0,37.0
3640.0,38.33
3595.0,39.0
3575.0,39.67
3519.0,40.33
3511.0,40.0
3605.0,40.0
3871.0,39.0
3946.0,37.33
3836.0,36.0
3642.0,34.67
3370.0,34.33
3047.0,33.67
2800.0,32.33
2642.0,33.33
2546.0,32.33
2503.0,32.67
2523.0,30.33
2615.0,29.0
2906.0,28.33
3374.0,29.33
3575.0,29.33
3575.0,32.67
3570.0,36.0
3551.0,40.0
3527.0,42.0
3500.0,43.0
3491.0,43.33
3445.0,43.67
3437.0,43.0
3574.0,41.67
3835.0,39.33
3911.0,38.0
3804.0,37.0
3638.0,36.67
3361.0,36.33
3038.0,36.67
2775.0,37.33
2608.0,37.33
2512.0,37.0
2466.0,37.0
2467.0,36.67
2550.0,36.67
2819.0,37.0
3275.0,37.33
3499.0,37.0
3570.0,38.0
3605.0,40.0
3611.0,41.67
3571.0,43.33
3523.0,44.67
3472.0,44.0
3420.0,45.33
3401.0,44.33
3478.0,43.0
3708.0,42.0
3776.0,40.0
3661.0,39.67
3512.0,38.0
3307.0,36.33
3041.0,36.0
2800.0,32.67
2623.0,31.0
2529.0,33.0
2492.0,31.33
2475.0,33.0
2508.0,33.33
2633.0,33.0
2853.0,32.33
3081.0,32.0
3308.0,33.33
3415.0,36.33
3441.0,38.0
3413.0,38.67
3320.0,40.33
3237.0,40.67
3192.0,40.33
3197.0,41.67
3323.0,40.33
3614.0,37.67
3687.0,36.0
3564.0,35.0
3434.0,34.0
3264.0,32.67
2999.0,31.0
2789.0,29.67
2629.0,29.0
2550.0,29.0
2510.0,28.33
2502.0,28.67
2534.0,27.0
2622.0,27.0
2754.0,25.67
2968.0,24.67
3205.0,28.33
3325.0,30.33
3345.0,32.67
3343.0,34.67
3295.0,36.67
3240.0,37.67
3194.0,37.67
3207.0,38.33
3347.0,36.33
3683.0,35.0
3829.0,31.67
3706.0,30.33
3538.0,28.0
3308.0,27.0
3045.0,25.33
2833.0,25.67
2733.0,25.0
2657.0,23.67
2586.0,23.67
2604.0,23.0
2673.0,22.67
2889.0,22.33
3238.0,20.33
3469.0,20.0
3596.0,23.33
3664.0,25.67
3690.0,27.67
3672.0,30.33
3606.0,32.33
3543.0,34.0
3495.0,35.0
3484.0,34.33
3593.0,34.67
3909.0,33.0
4050.0,31.33
3916.0,29.33
3719.0,27.0
3448.0,26.33
3124.0,25.0
2876.0,23.67
2739.0,23.67
2666.0,22.33
2637.0,21.0
2660.0,18.33
2761.0,18.0
3029.0,18.33
3444.0,17.0
3654.0,16.0
3689.0,22.0
3664.0,28.67
3646.0,31.67
3593.0,34.67
3543.0,36.0
3517.0,37.0
3497.0,38.67
3507.0,38.33
3614.0,38.0
3913.0,37.67
4007.0,37.33
3878.0,37.33
3671.0,37.0
3396.0,36.33
3061.0,34.0
2812.0,34.0
2644.0,34.0
2555.0,33.67
2510.0,33.0
2503.0,33.0
2599.0,31.33
2864.0,32.33
3278.0,32.0
3519.0,32.67
3578.0,34.0
3594.0,35.0
3603.0,37.67
3567.0,41.67
3504.0,47.33
3459.0,48.33
3391.0,49.67
3362.0,50.33
3439.0,49.0
3737.0,46.67
3852.0,43.0
3759.0,41.0
3567.0,41.33
3298.0,40.67
2965.0,39.0
2723.0,39.67
2556.0,38.0
2464.0,37.67
2421.0,38.0
2436.0,38.67
2519.0,37.0
2797.0,35.67
3226.0,36.0
3483.0,36.67
3563.0,35.67
3618.0,36.33
3648.0,38.33
3646.0,39.67
3588.0,43.0
3541.0,45.0
3510.0,42.67
3469.0,43.0
3511.0,41.67
3765.0,40.67
3898.0,38.67
3801.0,38.0
3625.0,36.0
3357.0,34.0
3038.0,33.0
2785.0,30.33
2615.0,28.0
2516.0,26.67
2472.0,27.0
2479.0,27.33
2567.0,27.33
2816.0,27.67
3222.0,28.33
3478.0,29.0
3573.0,30.67
3628.0,33.0
3665.0,35.0
3670.0,36.33
3643.0,36.0
3626.0,36.33
3600.0,35.33
3590.0,34.67
3690.0,35.33
3871.0,34.33
3874.0,33.0
3744.0,34.0
3557.0,34.67
3331.0,35.0
3042.0,35.0
2793.0,34.33
2611.0,33.67
2500.0,33.0
2441.0,33.0
2424.0,33.67
2469.0,34.0
2581.0,34.33
2759.0,34.33
2953.0,34.0
3165.0,34.0
3333.0,34.67
3401.0,34.67
3409.0,35.0
3370.0,35.33
3338.0,35.33
3311.0,36.0
3312.0,35.0
3400.0,33.0
3659.0,32.0
3770.0,30.67
3649.0,30.33
3466.0,29.0
3283.0,28.0
3024.0,27.0
2839.0,26.0
2689.0,25.0
2603.0,23.67
2559.0,23.0
2563.0,22.33
2599.0,21.33
2691.0,20.33
2833.0,19.33
3028.0,19.33
3293.0,21.0
3385.0,22.67
3433.0,25.33
3428.0,27.0
3397.0,30.0
3327.0,31.33
3251.0,32.67
3265.0,32.33
3378.0,31.67
3647.0,30.0
3840.0,27.67
3726.0,26.33
3529.0,25.0
3283.0,24.0
3016.0,23.33
2823.0,21.33
2687.0,20.0
2635.0,18.67
2612.0,17.0
2630.0,16.67
2739.0,16.67
3007.0,16.67
3392.0,16.67
3601.0,16.67
3672.0,21.67
3701.0,25.33
3694.0,30.67
3675.0,32.33
3651.0,34.67
3641.0,36.33
3579.0,38.0
3543.0,39.33
3623.0,39.67
3854.0,39.0
3966.0,38.0
3845.0,37.67
3626.0,36.67
3355.0,34.33
3070.0,31.67
2837.0,32.67
2681.0,32.0
2584.0,31.0
2539.0,35.0
2535.0,34.67
2626.0,32.67
2916.0,31.33
3316.0,29.33
3524.0,31.33
3594.0,32.33
3615.0,31.67
3600.0,32.67
3579.0,33.0
3506.0,33.33
3478.0,34.33
3429.0,34.67
3406.0,34.67
3477.0,33.33
3742.0,32.0
3927.0,30.0
3858.0,28.67
3687.0,27.33
3420.0,25.0
3122.0,24.33
2875.0,23.0
2741.0,22.67
2669.0,21.0
2632.0,22.0
2635.0,22.67
2735.0,23.0
3002.0,23.0
3395.0,22.67
3595.0,24.33
3641.0,25.33
3638.0,27.33
3650.0,29.67
3640.0,31.0
3606.0,32.0
3613.0,31.67
3609.0,31.33
3602.0,31.33
3672.0,31.33
3893.0,30.33
4012.0,30.67
3910.0,31.0
3726.0,31.67
3462.0,31.67
3148.0,30.67
2915.0,30.33
2764.0,30.67
2690.0,30.0
2642.0,30.33
2650.0,29.67
2731.0,29.67
2965.0,28.67
3309.0,28.67
3526.0,27.33
3665.0,26.0
3770.0,27.0
3853.0,26.0
3888.0,26.0
3886.0,25.67
3853.0,25.67
3795.0,26.33
3745.0,26.67
3786.0,26.33
3987.0,26.0
4115.0,25.33
3996.0,24.67
3798.0,24.0
3514.0,23.0
3200.0,23.0
2951.0,22.67
2814.0,22.33
2716.0,21.67
2655.0,21.67
2673.0,21.33
2752.0,20.67
3026.0,21.0
3391.0,20.67
3605.0,21.0
3677.0,21.67
3692.0,23.33
3696.0,25.67
3666.0,26.0
3609.0,27.67
3583.0,28.67
3523.0,29.33
3496.0,30.0
3555.0,30.33
3748.0,30.33
3858.0,29.33
3764.0,29.33
3609.0,29.0
3400.0,30.0
3129.0,30.33
2871.0,30.67
2725.0,30.67
2636.0,30.0
2576.0,30.0
2550.0,30.33
2570.0,32.67
2668.0,33.67
2842.0,34.33
3050.0,35.33
3295.0,36.33
3468.0,36.67
3529.0,37.0
3562.0,38.0
3493.0,38.0
3380.0,39.33
3266.0,40.33
3209.0,41.0
3264.0,41.0
3487.0,40.67
3664.0,39.0
3563.0,38.67
3427.0,38.67
3221.0,38.0
2968.0,37.33
2746.0,38.0
2592.0,37.67
2499.0,37.0
2451.0,36.0
2436.0,35.33
2464.0,32.0
2548.0,31.67
2686.0,30.33
2881.0,29.33
3113.0,30.0
3274.0,31.33
3324.0,32.33
3324.0,33.67
3297.0,35.33
3229.0,35.67
3190.0,35.33
3185.0,35.67
3279.0,36.0
3526.0,35.33
3728.0,32.67
3641.0,31.67
3446.0,27.33
3186.0,27.33
2903.0,26.0
2689.0,24.33
2598.0,25.0
2549.0,24.33
2540.0,24.33
2576.0,22.67
2678.0,21.67
2981.0,21.33
3421.0,19.67
3630.0,19.0
3684.0,19.33
3708.0,19.33
3719.0,20.33
3692.0,22.0
3631.0,22.67
3575.0,24.33
3510.0,26.0
3494.0,26.67
