Date,Hour,load,T
2012/1/4,23,3515,21.33
2012/1/4,24,3210,22.00
2012/1/5,1,3014,22.33
2012/1/5,2,2921,22.33
2012/1/5,3,2874,22.00
2012/1/5,4,2876,21.67
2012/1/5,5,2962,21.33
2012/1/5,6,3239,21.33
2012/1/5,7,3719,21.67
2012/1/5,8,3940,22.67
2012/1/5,9,3933,23.00
2012/1/5,10,3948,24.00
2012/1/5,11,3945,25.67
2012/1/5,12,3933,28.00
2012/1/5,13,3894,29.33
2012/1/5,14,3873,30.67
2012/1/5,15,3838,32.00
2012/1/5,16,3855,32.00
2012/1/5,17,4112,30.67
2012/1/5,18,4326,29.00
2012/1/5,19,4317,27.00
2012/1/5,20,4213,25.00
2012/1/5,21,4031,24.00
2012/1/5,22,3749,22.33
2012/1/5,23,3417,20.00
2012/1/5,24,3167,19.00
2012/1/6,1,2992,17.00
2012/1/6,2,2916,17.00
2012/1/6,3,2873,17.67
2012/1/6,4,2861,20.00
2012/1/6,5,2935,20.00
2012/1/6,6,3201,20.67
2012/1/6,7,3643,22.00
2012/1/6,8,3887,23.67
2012/1/6,9,3907,24.00
2012/1/6,10,3929,25.33
2012/1/6,11,3942,26.00
2012/1/6,12,3902,28.00
2012/1/6,13,3840,29.67
2012/1/6,14,3782,30.00
2012/1/6,15,3722,31.33
2012/1/6,16,3751,31.67
2012/1/6,17,3955,32.00
2012/1/6,18,4109,31.00
2012/1/6,19,4032,30.00
2012/1/6,20,3926,30.33
2012/1/6,21,3740,29.67
2012/1/6,22,3521,29.67
2012/1/6,23,3244,27.33
2012/1/6,24,2981,27.67
2012/1/7,1,2790,27.67
2012/1/7,2,2685,29.00
2012/1/7,3,2624,26.00
2012/1/7,4,2604,26.33
2012/1/7,5,2633,26.67
2012/1/7,6,2724,26.33
2012/1/7,7,2914,26.00
2012/1/7,8,3128,25.33
2012/1/7,9,3329,26.67
2012/1/7,10,3466,29.33
2012/1/7,11,3505,32.00
2012/1/7,12,3473,34.33
2012/1/7,13,3411,37.67
2012/1/7,14,3359,39.33
2012/1/7,15,3344,39.67
2012/1/7,16,3394,39.00
2012/1/7,17,3630,38.33
2012/1/7,18,3817,36.33
2012/1/7,19,3746,33.33
2012/1/7,20,3609,32.33
2012/1/7,21,3487,31.00
2012/1/7,22,3285,29.67
2012/1/7,23,3062,30.00
2012/1/7,24,2850,37.33
2012/1/8,1,2654,32.33
2012/1/8,2,2567,30.67
2012/1/8,3,2504,29.33
2012/1/8,4,2506,28.67
2012/1/8,5,2535,28.33
2012/1/8,6,2612,30.00
2012/1/8,7,2771,31.33
2012/1/8,8,2976,28.00
2012/1/8,9,3215,29.33
2012/1/8,10,3363,32.33
2012/1/8,11,3463,36.00
2012/1/8,12,3496,35.00
2012/1/8,13,3507,35.67
2012/1/8,14,3481,34.00
2012/1/8,15,3476,34.00
2012/1/8,16,3523,32.67
2012/1/8,17,3823,32.33
2012/1/8,18,4070,31.00
2012/1/8,19,4024,29.00
2012/1/8,20,3887,26.33
2012/1/8,21,3711,25.33
2012/1/8,22,3465,24.33
2012/1/8,23,3183,22.67
2012/1/8,24,2955,21.33
2012/1/9,1,2820,20.67
2012/1/9,2,2759,19.33
2012/1/9,3,2739,18.67
2012/1/9,4,2740,18.67
2012/1/9,5,2851,18.00
2012/1/9,6,3142,18.00
2012/1/9,7,3643,18.67
2012/1/9,8,3896,18.00
2012/1/9,9,3900,19.33
2012/1/9,10,3910,22.33
2012/1/9,11,3921,24.67
2012/1/9,12,3888,27.00
2012/1/9,13,3826,29.33
2012/1/9,14,3782,30.00
2012/1/9,15,3721,32.67
2012/1/9,16,3721,33.67
2012/1/9,17,3987,32.67
2012/1/9,18,4270,30.67
2012/1/9,19,4244,30.33
2012/1/9,20,4112,30.33
2012/1/9,21,3925,28.33
2012/1/9,22,3635,28.00
2012/1/9,23,3317,28.33
2012/1/9,24,3069,29.00
2012/1/10,1,2908,30.00
2012/1/10,2,2836,29.67
2012/1/10,3,2788,30.00
2012/1/10,4,2788,30.67
2012/1/10,5,2860,31.33
2012/1/10,6,3113,31.67
2012/1/10,7,3589,30.67
2012/1/10,8,3813,30.00
2012/1/10,9,3822,30.33
2012/1/10,10,3849,31.33
2012/1/10,11,3869,33.00
2012/1/10,12,3844,35.33
2012/1/10,13,3781,37.00
2012/1/10,14,3747,38.67
2012/1/10,15,3686,40.00
2012/1/10,16,3689,39.67
2012/1/10,17,3956,39.00
2012/1/10,18,4182,37.33
2012/1/10,19,4159,35.33
2012/1/10,20,4061,33.00
2012/1/10,21,3890,32.00
2012/1/10,22,3612,29.67
2012/1/10,23,3286,28.33
2012/1/10,24,3030,28.33
2012/1/11,1,2872,27.67
2012/1/11,2,2796,25.33
2012/1/11,3,2766,25.33
2012/1/11,4,2784,23.67
2012/1/11,5,2887,22.33
2012/1/11,6,3185,20.67
2012/1/11,7,3661,19.67
2012/1/11,8,3875,19.00
2012/1/11,9,3861,18.67
2012/1/11,10,3833,21.00
2012/1/11,11,3822,23.33
2012/1/11,12,3794,25.33
2012/1/11,13,3734,27.00
2012/1/11,14,3720,28.33
2012/1/11,15,3693,28.67
2012/1/11,16,3721,28.33
2012/1/11,17,3977,27.33
2012/1/11,18,4186,27.33
2012/1/11,19,4152,27.00
2012/1/11,20,4043,26.67
2012/1/11,21,3873,26.33
2012/1/11,22,3572,25.67
2012/1/11,23,3237,26.67
2012/1/11,24,2977,26.67
2012/1/12,1,2812,27.67
2012/1/12,2,2709,27.00
2012/1/12,3,2667,27.33
2012/1/12,4,2668,27.67
2012/1/12,5,2748,30.67
2012/1/12,6,3009,31.33
2012/1/12,7,3403,30.67
2012/1/12,8,3675,29.67
2012/1/12,9,3769,29.00
2012/1/12,10,3844,28.00
2012/1/12,11,3928,29.00
2012/1/12,12,3977,28.67
2012/1/12,13,3956,28.00
2012/1/12,14,3928,28.67
2012/1/12,15,3875,29.67
2012/1/12,16,3834,30.33
2012/1/12,17,4020,30.33
2012/1/12,18,4251,30.67
2012/1/12,19,4207,30.00
2012/1/12,20,4057,30.00
2012/1/12,21,3844,30.33
2012/1/12,22,3527,30.33
2012/1/12,23,3192,30.00
2012/1/12,24,2924,29.67
2012/1/13,1,2747,30.00
2012/1/13,2,2665,29.67
2012/1/13,3,2629,29.67
2012/1/13,4,2633,29.67
2012/1/13,5,2715,30.00
2012/1/13,6,2971,30.00
2012/1/13,7,3418,30.00
2012/1/13,8,3681,29.33
2012/1/13,9,3768,29.33
2012/1/13,10,3818,30.33
2012/1/13,11,3856,30.67
2012/1/13,12,3850,32.33
2012/1/13,13,3809,32.67
2012/1/13,14,3764,32.00
2012/1/13,15,3680,33.67
2012/1/13,16,3656,35.00
2012/1/13,17,3858,33.33
2012/1/13,18,4091,31.33
2012/1/13,19,4052,29.33
2012/1/13,20,3951,28.33
2012/1/13,21,3822,27.33
2012/1/13,22,3610,28.00
2012/1/13,23,3355,28.00
2012/1/13,24,3104,29.00
2012/1/14,1,2909,29.00
2012/1/14,2,2805,28.67
2012/1/14,3,2751,28.00
2012/1/14,4,2744,27.33
2012/1/14,5,2784,26.33
2012/1/14,6,2894,25.67
2012/1/14,7,3096,24.33
2012/1/14,8,3344,23.00
2012/1/14,9,3573,22.33
2012/1/14,10,3751,21.67
2012/1/14,11,3815,20.33
2012/1/14,12,3798,20.00
2012/1/14,13,3737,19.67
2012/1/14,14,3677,19.00
2012/1/14,15,3666,18.33
2012/1/14,16,3694,18.00
2012/1/14,17,3963,17.00
2012/1/14,18,4248,14.00
2012/1/14,19,4210,12.00
2012/1/14,20,4119,11.00
2012/1/14,21,3972,9.67
2012/1/14,22,3795,8.33
2012/1/14,23,3594,7.67
2012/1/14,24,3361,6.00
2012/1/15,1,3153,4.33
2012/1/15,2,3051,3.33
2012/1/15,3,3012,2.00
2012/1/15,4,3012,1.00
2012/1/15,5,3046,1.00
2012/1/15,6,3128,0.00
2012/1/15,7,3271,0.00
2012/1/15,8,3476,-0.33
2012/1/15,9,3725,-0.33
2012/1/15,10,3874,1.33
2012/1/15,11,3954,3.67
2012/1/15,12,3945,5.33
2012/1/15,13,3924,7.00
2012/1/15,14,3863,8.67
2012/1/15,15,3845,8.67
2012/1/15,16,3871,9.00
2012/1/15,17,4160,9.00
2012/1/15,18,4441,6.67
2012/1/15,19,4405,5.67
2012/1/15,20,4253,4.00
2012/1/15,21,4113,3.00
2012/1/15,22,3853,1.00
2012/1/15,23,3579,0.67
2012/1/15,24,3365,0.00
2012/1/16,1,3220,0.00
2012/1/16,2,3138,0.00
2012/1/16,3,3114,-0.67
2012/1/16,4,3124,-1.33
2012/1/16,5,3209,-2.00
2012/1/16,6,3414,-2.33
2012/1/16,7,3759,-4.67
2012/1/16,8,4001,-4.00
2012/1/16,9,4147,-3.67
2012/1/16,10,4215,1.33
2012/1/16,11,4242,9.00
2012/1/16,12,4187,13.00
2012/1/16,13,4083,16.67
2012/1/16,14,4028,20.33
2012/1/16,15,3972,22.67
2012/1/16,16,3961,23.33
2012/1/16,17,4193,24.00
2012/1/16,18,4433,24.00
2012/1/16,19,4370,23.00
2012/1/16,20,4230,24.33
2012/1/16,21,4018,26.67
2012/1/16,22,3707,26.67
2012/1/16,23,3372,27.33
2012/1/16,24,3091,28.67
2012/1/17,1,2915,29.00
2012/1/17,2,2799,29.00
2012/1/17,3,2757,29.00
2012/1/17,4,2753,29.33
2012/1/17,5,2839,29.67
2012/1/17,6,3121,29.33
2012/1/17,7,3574,29.33
2012/1/17,8,3775,29.67
2012/1/17,9,3783,29.00
2012/1/17,10,3770,30.67
2012/1/17,11,3761,32.33
2012/1/17,12,3758,33.67
2012/1/17,13,3722,35.00
2012/1/17,14,3704,36.33
2012/1/17,15,3687,35.67
2012/1/17,16,3728,35.33
2012/1/17,17,3967,34.67
2012/1/17,18,4153,35.00
2012/1/17,19,4103,34.67
2012/1/17,20,3974,36.67
2012/1/17,21,3752,37.33
2012/1/17,22,3454,37.67
2012/1/17,23,3114,38.00
2012/1/17,24,2836,39.00
2012/1/18,1,2670,39.33
2012/1/18,2,2581,39.67
2012/1/18,3,2541,41.67
2012/1/18,4,2542,41.33
2012/1/18,5,2653,39.00
2012/1/18,6,2932,37.33
2012/1/18,7,3415,35.00
2012/1/18,8,3634,33.33
2012/1/18,9,3654,31.67
2012/1/18,10,3680,30.00
2012/1/18,11,3709,29.67
2012/1/18,12,3714,28.67
2012/1/18,13,3692,28.00
2012/1/18,14,3691,27.33
2012/1/18,15,3682,26.67
2012/1/18,16,3712,25.33
2012/1/18,17,3981,24.00
2012/1/18,18,4332,21.67
2012/1/18,19,4356,19.00
2012/1/18,20,4276,18.00
2012/1/18,21,4080,17.33
2012/1/18,22,3826,16.00
2012/1/18,23,3547,15.00
2012/1/18,24,3292,13.33
2012/1/19,1,3144,11.33
2012/1/19,2,3058,11.00
2012/1/19,3,3023,9.67
2012/1/19,4,3032,8.00
2012/1/19,5,3141,6.00
2012/1/19,6,3429,6.33
2012/1/19,7,3942,5.00
2012/1/19,8,4138,4.67
2012/1/19,9,4107,5.33
2012/1/19,10,4100,11.67
2012/1/19,11,4072,16.00
2012/1/19,12,4016,18.33
2012/1/19,13,3937,20.67
2012/1/19,14,3883,23.33
2012/1/19,15,3823,24.67
2012/1/19,16,3857,25.00
2012/1/19,17,4089,24.00
2012/1/19,18,4367,24.67
2012/1/19,19,4327,25.00
2012/1/19,20,4244,25.00
2012/1/19,21,4046,25.33
2012/1/19,22,3769,25.33
2012/1/19,23,3459,26.00
2012/1/19,24,3187,25.33
2012/1/20,1,3005,26.33
2012/1/20,2,2895,26.33
2012/1/20,3,2848,27.33
2012/1/20,4,2853,23.00
2012/1/20,5,2954,22.00
2012/1/20,6,3214,18.67
2012/1/20,7,3684,17.33
2012/1/20,8,3894,16.33
2012/1/20,9,3913,15.33
2012/1/20,10,3923,18.00
2012/1/20,11,3925,20.00
2012/1/20,12,3901,23.00
2012/1/20,13,3856,25.00
2012/1/20,14,3826,24.67
2012/1/20,15,3778,24.00
2012/1/20,16,3778,23.67
2012/1/20,17,3940,22.00
2012/1/20,18,4220,19.67
2012/1/20,19,4198,17.00
2012/1/20,20,4092,15.67
2012/1/20,21,3942,14.00
2012/1/20,22,3758,12.33
2012/1/20,23,3492,12.33
2012/1/20,24,3240,11.00
2012/1/21,1,3075,10.67
2012/1/21,2,2977,10.00
2012/1/21,3,2915,10.00
2012/1/21,4,2877,11.00
2012/1/21,5,2914,11.33
2012/1/21,6,3009,11.67
2012/1/21,7,3224,11.67
2012/1/21,8,3460,11.67
2012/1/21,9,3702,11.00
2012/1/21,10,3895,11.33
2012/1/21,11,3975,12.00
2012/1/21,12,3972,13.00
2012/1/21,13,3933,14.00
2012/1/21,14,3868,14.67
2012/1/21,15,3816,15.67
2012/1/21,16,3804,17.00
2012/1/21,17,3961,17.00
2012/1/21,18,4185,15.00
2012/1/21,19,4137,14.00
2012/1/21,20,4002,12.67
2012/1/21,21,3871,10.67
2012/1/21,22,3674,9.33
2012/1/21,23,3428,7.00
2012/1/21,24,3195,6.33
2012/1/22,1,3030,3.67
2012/1/22,2,2957,2.67
2012/1/22,3,2933,0.33
2012/1/22,4,2906,1.33
2012/1/22,5,2932,-0.33
2012/1/22,6,3021,-1.33
2012/1/22,7,3194,-1.33
2012/1/22,8,3394,-2.67
2012/1/22,9,3628,-0.33
2012/1/22,10,3744,3.67
2012/1/22,11,3783,10.00
2012/1/22,12,3737,15.67
2012/1/22,13,3673,19.00
2012/1/22,14,3614,22.00
2012/1/22,15,3600,23.33
2012/1/22,16,3589,23.67
2012/1/22,17,3774,24.00
2012/1/22,18,4022,22.00
2012/1/22,19,4021,20.00
2012/1/22,20,3922,19.00
2012/1/22,21,3752,18.33
2012/1/22,22,3488,19.33
2012/1/22,23,3212,20.33
2012/1/22,24,2971,23.00
2012/1/23,1,2808,22.67
2012/1/23,2,2722,24.00
2012/1/23,3,2684,24.33
2012/1/23,4,2697,24.33
2012/1/23,5,2791,24.67
2012/1/23,6,3069,25.33
2012/1/23,7,3544,25.67
2012/1/23,8,3769,27.00
2012/1/23,9,3813,28.00
2012/1/23,10,3859,28.67
2012/1/23,11,3894,30.00
2012/1/23,12,3899,32.00
2012/1/23,13,3853,33.33
2012/1/23,14,3817,34.67
2012/1/23,15,3764,34.67
2012/1/23,16,3777,34.67
2012/1/23,17,3952,34.33
2012/1/23,18,4172,34.33
2012/1/23,19,4130,33.67
2012/1/23,20,3984,34.67
2012/1/23,21,3764,34.67
2012/1/23,22,3466,37.67
2012/1/23,23,3131,38.33
2012/1/23,24,2862,39.33
2012/1/24,1,2708,40.33
2012/1/24,2,2582,41.33
2012/1/24,3,2534,41.00
2012/1/24,4,2528,41.00
2012/1/24,5,2624,41.33
2012/1/24,6,2889,39.33
2012/1/24,7,3363,37.67
2012/1/24,8,3590,35.67
2012/1/24,9,3608,36.33
2012/1/24,10,3602,37.00
2012/1/24,11,3619,38.00
2012/1/24,12,3610,39.00
2012/1/24,13,3568,43.00
2012/1/24,14,3538,46.33
2012/1/24,15,3505,45.67
2012/1/24,16,3510,45.33
2012/1/24,17,3708,43.00
2012/1/24,18,3984,42.33
2012/1/24,19,3966,41.00
2012/1/24,20,3842,39.33
2012/1/24,21,3666,39.00
2012/1/24,22,3369,38.33
2012/1/24,23,3078,38.33
2012/1/24,24,2813,37.67
2012/1/25,1,2653,37.00
2012/1/25,2,2563,36.33
2012/1/25,3,2521,35.00
2012/1/25,4,2537,34.33
2012/1/25,5,2627,33.67
2012/1/25,6,2917,33.67
2012/1/25,7,3407,33.67
2012/1/25,8,3657,33.33
2012/1/25,9,3655,33.67
2012/1/25,10,3684,34.00
2012/1/25,11,3696,34.67
2012/1/25,12,3698,34.33
2012/1/25,13,3658,34.67
2012/1/25,14,3628,35.33
2012/1/25,15,3574,36.00
2012/1/25,16,3579,36.00
2012/1/25,17,3757,35.00
2012/1/25,18,4098,33.00
2012/1/25,19,4107,31.67
2012/1/25,20,4001,30.67
2012/1/25,21,3824,30.00
2012/1/25,22,3536,29.67
2012/1/25,23,3214,29.67
2012/1/25,24,2952,29.67
2012/1/26,1,2786,29.33
2012/1/26,2,2701,29.33
2012/1/26,3,2669,28.67
2012/1/26,4,2670,28.33
2012/1/26,5,2778,28.00
2012/1/26,6,3050,27.33
2012/1/26,7,3560,27.00
2012/1/26,8,3768,25.67
2012/1/26,9,3736,25.33
2012/1/26,10,3707,28.67
2012/1/26,11,3687,31.00
2012/1/26,12,3629,33.33
2012/1/26,13,3567,35.33
2012/1/26,14,3548,35.33
2012/1/26,15,3524,36.33
2012/1/26,16,3533,35.33
2012/1/26,17,3733,34.33
2012/1/26,18,4031,34.00
2012/1/26,19,4025,33.33
2012/1/26,20,3921,32.00
2012/1/26,21,3750,31.00
2012/1/26,22,3471,31.00
2012/1/26,23,3163,30.67
2012/1/26,24,2899,30.33
2012/1/27,1,2736,31.00
2012/1/27,2,2627,32.33
2012/1/27,3,2597,32.67
2012/1/27,4,2568,32.67
2012/1/27,5,2663,33.33
2012/1/27,6,2919,34.00
2012/1/27,7,3325,34.00
2012/1/27,8,3604,34.67
2012/1/27,9,3708,35.00
2012/1/27,10,3784,35.67
2012/1/27,11,3843,36.33
2012/1/27,12,3856,37.33
2012/1/27,13,3810,37.67
2012/1/27,14,3772,36.67
2012/1/27,15,3703,36.33
2012/1/27,16,3680,36.67
2012/1/27,17,3814,36.67
2012/1/27,18,3983,35.67
2012/1/27,19,3924,35.33
2012/1/27,20,3779,34.33
2012/1/27,21,3599,35.00
2012/1/27,22,3385,35.67
2012/1/27,23,3111,35.67
2012/1/27,24,2864,36.00
2012/1/28,1,2679,35.67
2012/1/28,2,2570,36.33
2012/1/28,3,2512,35.67
2012/1/28,4,2505,36.00
2012/1/28,5,2537,35.33
2012/1/28,6,2657,35.00
2012/1/28,7,2856,34.00
2012/1/28,8,3079,33.67
2012/1/28,9,3292,33.00
2012/1/28,10,3416,36.00
2012/1/28,11,3440,37.00
2012/1/28,12,3408,38.67
2012/1/28,13,3349,40.00
2012/1/28,14,3269,40.33
2012/1/28,15,3216,41.00
2012/1/28,16,3210,40.67
2012/1/28,17,3398,39.67
2012/1/28,18,3726,38.33
2012/1/28,19,3723,37.33
2012/1/28,20,3588,36.67
2012/1/28,21,3447,36.33
2012/1/28,22,3243,37.00
2012/1/28,23,3021,35.00
2012/1/28,24,2787,36.67
2012/1/29,1,2615,36.00
2012/1/29,2,2541,34.67
2012/1/29,3,2502,34.33
2012/1/29,4,2488,34.00
2012/1/29,5,2529,33.33
2012/1/29,6,2610,32.67
2012/1/29,7,2767,32.00
2012/1/29,8,2959,31.33
2012/1/29,9,3209,31.67
2012/1/29,10,3351,32.00
2012/1/29,11,3404,34.00
2012/1/29,12,3419,35.00
2012/1/29,13,3393,35.67
2012/1/29,14,3352,37.67
2012/1/29,15,3303,38.33
2012/1/29,16,3315,38.67
2012/1/29,17,3524,37.67
2012/1/29,18,3898,35.67
2012/1/29,19,3907,32.33
2012/1/29,20,3770,32.67
2012/1/29,21,3587,30.00
2012/1/29,22,3322,30.67
2012/1/29,23,3038,32.33
2012/1/29,24,2822,29.33
2012/1/30,1,2677,28.00
2012/1/30,2,2615,27.33
2012/1/30,3,2602,27.33
2012/1/30,4,2619,28.33
2012/1/30,5,2732,28.67
2012/1/30,6,3000,28.33
2012/1/30,7,3514,27.67
2012/1/30,8,3753,26.67
2012/1/30,9,3773,26.33
2012/1/30,10,3794,28.00
2012/1/30,11,3813,28.00
2012/1/30,12,3781,29.67
2012/1/30,13,3739,31.00
2012/1/30,14,3694,31.67
2012/1/30,15,3645,30.00
2012/1/30,16,3673,30.00
2012/1/30,17,3836,30.00
2012/1/30,18,4177,28.00
2012/1/30,19,4214,26.67
2012/1/30,20,4094,25.67
2012/1/30,21,3914,24.67
2012/1/30,22,3627,22.67
2012/1/30,23,3311,21.00
2012/1/30,24,3046,20.67
2012/1/31,1,2896,20.67
2012/1/31,2,2807,21.33
2012/1/31,3,2758,21.33
2012/1/31,4,2749,22.00
2012/1/31,5,2843,22.67
2012/1/31,6,3110,23.00
2012/1/31,7,3585,24.00
2012/1/31,8,3809,24.00
2012/1/31,9,3824,24.67
2012/1/31,10,3829,25.33
2012/1/31,11,3842,26.33
2012/1/31,12,3831,27.33
2012/1/31,13,3789,28.00
2012/1/31,14,3762,28.67
2012/1/31,15,3696,29.33
2012/1/31,16,3666,29.67
2012/1/31,17,3808,29.33
2012/1/31,18,4098,29.67
2012/1/31,19,4101,29.00
2012/1/31,20,3979,29.00
2012/1/31,21,3773,28.67
2012/1/31,22,3478,28.67
2012/1/31,23,3148,28.67
2012/1/31,24,2888,28.33
2012/2/1,1,2728,28.00
2012/2/1,2,2629,28.00
2012/2/1,3,2589,28.00
2012/2/1,4,2597,30.33
2012/2/1,5,2681,31.67
2012/2/1,6,2966,32.00
2012/2/1,7,3456,32.33
2012/2/1,8,3693,32.67
2012/2/1,9,3690,31.67
2012/2/1,10,3706,33.33
2012/2/1,11,3733,34.33
2012/2/1,12,3738,35.00
2012/2/1,13,3696,36.00
2012/2/1,14,3654,37.00
2012/2/1,15,3586,37.33
2012/2/1,16,3557,38.33
2012/2/1,17,3681,39.67
2012/2/1,18,3983,38.00
2012/2/1,19,4004,33.67
2012/2/1,20,3890,33.00
2012/2/1,21,3706,35.00
2012/2/1,22,3416,38.00
2012/2/1,23,3090,36.33
2012/2/1,24,2814,33.33
2012/2/2,1,2639,33.33
2012/2/2,2,2545,33.33
2012/2/2,3,2502,33.67
2012/2/2,4,2510,33.00
2012/2/2,5,2603,32.67
2012/2/2,6,2888,32.33
2012/2/2,7,3398,31.00
2012/2/2,8,3616,30.33
2012/2/2,9,3634,29.67
2012/2/2,10,3667,29.67
2012/2/2,11,3713,30.00
2012/2/2,12,3701,30.33
2012/2/2,13,3671,31.00
2012/2/2,14,3664,30.33
2012/2/2,15,3642,30.33
2012/2/2,16,3648,28.67
2012/2/2,17,3800,28.33
2012/2/2,18,4064,27.33
2012/2/2,19,4084,26.00
2012/2/2,20,3997,25.67
2012/2/2,21,3831,25.33
2012/2/2,22,3562,24.00
2012/2/2,23,3256,24.00
2012/2/2,24,3010,23.33
2012/2/3,1,2837,22.67
2012/2/3,2,2746,21.67
2012/2/3,3,2723,21.00
2012/2/3,4,2733,19.67
2012/2/3,5,2829,19.00
2012/2/3,6,3114,19.00
2012/2/3,7,3602,18.67
2012/2/3,8,3809,17.33
2012/2/3,9,3817,19.00
2012/2/3,10,3798,21.67
2012/2/3,11,3782,23.67
2012/2/3,12,3749,26.67
2012/2/3,13,3675,30.00
2012/2/3,14,3628,31.33
2012/2/3,15,3568,31.67
2012/2/3,16,3550,32.33
2012/2/3,17,3663,32.33
2012/2/3,18,3937,30.33
2012/2/3,19,3956,30.33
2012/2/3,20,3859,27.67
2012/2/3,21,3716,27.00
2012/2/3,22,3502,27.33
2012/2/3,23,3254,28.00
2012/2/3,24,2967,28.67
2012/2/4,1,2777,27.33
2012/2/4,2,2677,26.33
2012/2/4,3,2624,26.00
2012/2/4,4,2607,25.67
2012/2/4,5,2639,26.00
2012/2/4,6,2744,24.33
2012/2/4,7,2964,23.33
2012/2/4,8,3203,22.67
2012/2/4,9,3420,24.00
2012/2/4,10,3542,26.67
2012/2/4,11,3569,27.67
2012/2/4,12,3522,29.67
2012/2/4,13,3445,30.33
2012/2/4,14,3369,31.33
2012/2/4,15,3323,31.00
2012/2/4,16,3330,32.33
2012/2/4,17,3487,30.67
2012/2/4,18,3832,28.00
2012/2/4,19,3890,26.00
2012/2/4,20,3784,24.00
2012/2/4,21,3653,23.00
2012/2/4,22,3439,21.33
2012/2/4,23,3211,19.33
2012/2/4,24,2992,18.33
2012/2/5,1,2837,17.67
2012/2/5,2,2754,16.67
2012/2/5,3,2714,15.00
2012/2/5,4,2705,14.33
2012/2/5,5,2733,13.67
2012/2/5,6,2824,12.67
2012/2/5,7,2980,11.67
2012/2/5,8,3191,10.33
2012/2/5,9,3433,14.00
2012/2/5,10,3547,17.67
2012/2/5,11,3577,21.00
2012/2/5,12,3565,24.33
2012/2/5,13,3514,27.33
2012/2/5,14,3435,29.67
2012/2/5,15,3387,31.33
2012/2/5,16,3416,31.33
2012/2/5,17,3585,30.67
2012/2/5,18,3903,28.67
2012/2/5,19,3813,28.33
2012/2/5,20,3595,27.33
2012/2/5,21,3486,26.00
2012/2/5,22,3289,26.00
2012/2/5,23,3165,23.67
2012/2/5,24,2897,22.67
2012/2/6,1,2722,24.33
2012/2/6,2,2638,24.33
2012/2/6,3,2604,22.67
2012/2/6,4,2604,23.33
2012/2/6,5,2686,25.00
2012/2/6,6,2960,25.67
2012/2/6,7,3443,26.33
2012/2/6,8,3662,26.00
