iter	MultiClass
121	0.1983986337
122	0.1971458078
123	0.1958035166
124	0.1946786912
125	0.1928459185
126	0.1916596702
127	0.190132643
128	0.1884582786
129	0.186882141
130	0.1857379857
131	0.1844752253
132	0.1831807102
133	0.1818556042
134	0.1805966256
135	0.17961102
136	0.1783850365
137	0.176807366
138	0.1752154377
139	0.1739724493
140	0.1724061524
141	0.1710342242
142	0.1697312162
143	0.1685639717
144	0.1673610307
145	0.1667290595
146	0.1652237095
147	0.1644658236
148	0.1636958655
149	0.1624243877
150	0.1613814816
151	0.1605869147
152	0.1597354634
153	0.1590630396
154	0.1580396758
155	0.1572761082
156	0.1562701926
157	0.1555493294
158	0.1548070888
159	0.1537073873
160	0.1529366824
161	0.1522189994
162	0.1512683921
163	0.1503470526
164	0.1495737107
165	0.1485667716
166	0.1479803795
167	0.1471812682
168	0.1462891386
169	0.1456256825
170	0.1448260168
171	0.1443342752
172	0.143683193
173	0.1429440967
174	0.1422983121
175	0.1418633078
176	0.1411224362
177	0.140367563
178	0.1398533133
179	0.1394159885
180	0.1390806651
181	0.1382989721
182	0.137613616
183	0.1370595276
184	0.1365467462
185	0.1355317926
186	0.1350159649
187	0.1342287046
188	0.1337337051
189	0.1332656073
190	0.1328374642
191	0.132222942
192	0.13187247
193	0.1311685137
194	0.1307657917
195	0.1301147552
196	0.1293563949
197	0.1284952468
198	0.1280382767
199	0.1273077535
200	0.1268445137
201	0.1261086594
202	0.1254046883
203	0.1245329111
204	0.1241366372
205	0.1236210146
206	0.1228804855
207	0.1224233792
208	0.1220173069
209	0.1216895025
210	0.1213457025
211	0.1208961
212	0.1203299925
213	0.1199520097
214	0.1193867538
215	0.1190543546
216	0.1187079339
217	0.1184279598
218	0.1177615204
219	0.1170403152
220	0.1164199346
221	0.1159719807
222	0.1156094498
223	0.1148998121
224	0.1142699499
225	0.113929463
226	0.1136437644
227	0.1131630151
228	0.1126560165
229	0.112157573
230	0.1116325185
231	0.1110920056
232	0.1109655597
233	0.1104114788
234	0.1099730214
235	0.1096233427
236	0.1091995927
237	0.1088006194
238	0.1085621079
239	0.1081651816
240	0.1077875365
241	0.1075282894
242	0.1070113751
243	0.1066845675
244	0.1063673683
245	0.1060867213
246	0.1058921435
247	0.1055794596
248	0.105340103
249	0.1050972278
250	0.1047404765
251	0.1042838471
252	0.1039806027
253	0.1036828193
254	0.1034673468
255	0.1030332807
256	0.1026974838
257	0.1024220172
258	0.1022197027
259	0.1017455717
260	0.1013595953
261	0.1011531614
262	0.1008976827
263	0.1005787699
264	0.1003757323
265	0.1001278137
266	0.09967673709
267	0.09927270197
268	0.09905066837
269	0.09892483543
270	0.09857261502
271	0.09825984357
272	0.0980003392
273	0.09769641562
274	0.09738997113
275	0.09717817628
276	0.09670479323
277	0.09629852181
278	0.09592261496
279	0.09570749445
280	0.09555267601
281	0.0951636192
282	0.09488323528
283	0.0944327404
284	0.09410041314
285	0.09359384927
286	0.09312660504
287	0.09281658967
288	0.09263399239
289	0.0923429439
290	0.09191380292
291	0.09169573565
292	0.09139751038
293	0.09116983465
294	0.09100973825
295	0.09072958072
296	0.09051305066
297	0.09026713411
298	0.08995075655
299	0.08960791378
300	0.08936455516
301	0.08898009336
302	0.08879588535
303	0.0885802472
304	0.0883785139
305	0.08813863868
306	0.08767927663
307	0.08749220467
308	0.08714787463
309	0.08696486903
310	0.08681920176
311	0.08669093898
312	0.08647691331
313	0.08628115943
314	0.08607787866
315	0.0857373284
316	0.08553356583
317	0.08538489202
318	0.08519728542
319	0.08503422928
320	0.08491322789
321	0.08480082262
322	0.0846071791
323	0.08445659978
324	0.08430453245
325	0.08412754245
326	0.08398679522
327	0.08368289288
328	0.0834303638
329	0.08325661764
330	0.08312753113
331	0.08280289328
332	0.08253389663
333	0.08227469522
334	0.08214651099
335	0.08202087132
336	0.08174049115
337	0.08161150934
338	0.08146786468
339	0.08131228745
340	0.08113633779
341	0.08096509744
342	0.08071234664
343	0.08060703342
344	0.08054829892
345	0.08044871661
346	0.08028029991
347	0.0800896182
348	0.07984922046
349	0.07962091254
350	0.07947243279
351	0.07925547709
352	0.07915169736
353	0.07876622185
354	0.078644634
355	0.07851251838
356	0.07835624071
357	0.07825780661
358	0.07811304557
359	0.07787460516
360	0.07768290268
361	0.07761683134
362	0.07751376834
363	0.0773983176
364	0.07726496976
365	0.076954915
366	0.07672633786
367	0.07656498692
368	0.07642156472
369	0.07606031573
370	0.07584976355
371	0.07564573459
372	0.07552378897
373	0.07529175189
374	0.07499830298
375	0.07464858688
376	0.07452336861
377	0.07440670526
378	0.0742880622
379	0.07418090333
380	0.07408805917
381	0.07395966705
382	0.07369639409
383	0.07355761075
384	0.07344366846
385	0.0732500609
386	0.07315611232
387	0.07290560693
388	0.07281851609
389	0.07259746467
390	0.07247577971
391	0.07214658115
392	0.07199297568
393	0.07188177075
394	0.07169358014
395	0.07153944378
396	0.07133692497
397	0.07119799567
398	0.07110079449
399	0.0708366595
400	0.07071217342
401	0.07039594016
402	0.07019826981
403	0.07007597193
404	0.06999384714
405	0.0698146372
406	0.06968096027
407	0.06954948797
408	0.06932180454
409	0.06911755431
410	0.06901220271
411	0.06883376568
412	0.06870564713
413	0.06858753328
414	0.06834157172
415	0.06809842815
416	0.06801680958
417	0.06792459968
418	0.06774095731
419	0.06766114065
420	0.06751839269
421	0.06737806693
422	0.06728362427
423	0.06720628213
424	0.06708030041
425	0.06694123634
426	0.0667742451
427	0.06667134368
428	0.06655782439
429	0.06641394581
430	0.06630406718
431	0.06608435673
432	0.06591871015
433	0.06563463776
434	0.06554898522
435	0.06544386053
436	0.06533762235
437	0.06517353208
438	0.06506719698
439	0.06500377198
440	0.06480276666
441	0.06467498491
442	0.06460423175
443	0.0644668322
444	0.06424820783
445	0.06410333157
446	0.06389271888
447	0.06381767793
448	0.06373828293
449	0.06364305873
450	0.06353386982
451	0.06331394001
452	0.06322046024
453	0.0631682855
454	0.06301493487
455	0.06292774551
456	0.0628008049
457	0.062681743
458	0.06247340668
459	0.0623500253
460	0.06216354892
461	0.06192492212
462	0.06172223647
463	0.06155124593
464	0.0614061714
465	0.06126538384
466	0.06109991369
467	0.06101428777
468	0.06087447706
469	0.06079388691
470	0.06062839409
471	0.06057080293
472	0.06046284918
473	0.06039221391
474	0.06031340229
475	0.0601732973
476	0.0600556731
477	0.05985484683
478	0.05977586603
479	0.05971032398
480	0.05960249807
481	0.05949283874
482	0.05936854536
483	0.05930422541
484	0.05919084929
485	0.05910154362
486	0.05903376165
487	0.05894954414
488	0.05876397171
489	0.05866358879
490	0.05861516002
491	0.05854073293
492	0.05835935037
493	0.05828652437
494	0.05810876478
495	0.057877246
496	0.05778978846
497	0.05769180399
498	0.05758031885
499	0.05744749011
500	0.05738663757
501	0.05732224366
502	0.05715092971
503	0.05707815787
504	0.05694189867
505	0.05689024669
506	0.05678887748
507	0.05668973889
508	0.0565987588
509	0.05653259628
510	0.05638039703
511	0.05626467238
512	0.0562297384
513	0.05616037441
514	0.05603351175
515	0.05597613707
516	0.05593233474
517	0.05588408242
518	0.0557212051
519	0.05550602897
520	0.05537572607
521	0.05530079027
522	0.05522028173
523	0.05515165473
524	0.05506610465
525	0.05499225591
526	0.05494556844
527	0.05481039097
528	0.054685708
529	0.05461034068
530	0.05457014745
531	0.05451246519
532	0.05444836109
533	0.0543909468
534	0.05431216736
535	0.05422514764
536	0.05414739389
537	0.05407960461
538	0.05395452367
539	0.05384328637
540	0.05378480389
541	0.05371448317
542	0.05363378215
543	0.05356754889
544	0.05350495589
545	0.05345385808
546	0.05335267676
547	0.05322479989
548	0.05314230997
549	0.0530314759
550	0.05293897439
551	0.05284664558
552	0.05273716565
553	0.05267685349
554	0.05252425549
555	0.05244429416
556	0.05239192433
557	0.05229487629
558	0.05220517816
559	0.05212658505
560	0.05201980428
561	0.05191321813
562	0.05187856543
563	0.05173104568
564	0.05158505177
565	0.05139381359
566	0.05129296372
567	0.05122072825
568	0.05112679216
569	0.0509847686
570	0.05089034576
571	0.05075033549
572	0.05069167775
573	0.05064266848
574	0.0505045207
575	0.05046311337
576	0.05038118722
577	0.05028188119
578	0.05022864381
579	0.0501556567
580	0.05008860855
581	0.05000844586
582	0.04995531522
583	0.0498252121
584	0.04974476741
585	0.04965183878
586	0.04961295955
587	0.04953092042
588	0.04947242839
589	0.04938007762
590	0.04931491266
591	0.04927039063
592	0.04920067291
593	0.04910353599
594	0.0490240089
595	0.04896803327
596	0.0488973365
597	0.04884447121
598	0.04874721038
599	0.04871143345
600	0.04865754571
601	0.04854879354
602	0.04847907801
603	0.0484226629
604	0.04832372579
605	0.04821925318
606	0.04814811348
607	0.04809821624
608	0.04806273295
609	0.04802099175
610	0.04795736193
611	0.04790751027
612	0.04781902935
613	0.04774546832
614	0.04765569505
615	0.04755564597
616	0.04750115671
617	0.04743678878
618	0.04738401156
619	0.0473219843
620	0.04729239907
621	0.04725929001
622	0.04713479929
623	0.0470861174
624	0.04692156945
625	0.04687058251
626	0.04677410476
627	0.04671671109
628	0.04667517802
629	0.04662312732
630	0.04646182375
631	0.0464177474
632	0.04628291576
633	0.04620135763
634	0.04612905983
635	0.0460862121
636	0.04599417298
637	0.04592529568
638	0.04587716105
639	0.04578943482
640	0.04571564292
641	0.04560576459
642	0.04554264338
643	0.04547170211
644	0.04539353201
645	0.04534410629
646	0.04531313962
647	0.04526506765
648	0.04518401465
649	0.04510812602
650	0.04500617447
651	0.04497041139
652	0.04493964076
653	0.04490324042
654	0.04484754097
655	0.04476968801
656	0.04473198457
657	0.04465313368
658	0.04460693245
659	0.04454491907
660	0.04449887568
661	0.04446309633
662	0.04431414138
663	0.04423228664
664	0.04415714039
665	0.04409370307
666	0.04399282172
667	0.0439697274
668	0.04389460483
669	0.0438501286
670	0.04370467793
671	0.04362293859
672	0.04358741091
673	0.04349709493
674	0.04344414901
675	0.04336615876
676	0.04324743418
677	0.04316565398
678	0.0431359777
679	0.04307477465
680	0.04298650148
681	0.04294326684
682	0.04280156984
683	0.04271532007
684	0.0426505212
685	0.04262859304
686	0.0425454539
687	0.04249442372
688	0.04245364867
689	0.04241769205
690	0.04239240462
691	0.04231857597
692	0.04224622932
693	0.04221041112
694	0.04216847654
695	0.04211659075
696	0.0420898157
697	0.04205177405
698	0.0420080039
699	0.04197597567
700	0.04195263961
701	0.04190581491
702	0.04188703964
703	0.04183619985
704	0.04173327674
705	0.04164314558
706	0.04161562886
707	0.04158965547
708	0.04154905517
709	0.04146435582
710	0.04141845387
711	0.04135893692
712	0.04130074311
713	0.04126833568
714	0.04121977826
715	0.04120521288
716	0.04113923165
717	0.04104356176
718	0.04091213079
719	0.04078195136
720	0.04074109926
721	0.04068418272
722	0.0406676917
723	0.04062725833
724	0.04059705818
725	0.04056711712
726	0.04055313941
727	0.0405133748
728	0.04048738101
729	0.04040941083
730	0.04038248805
731	0.04030646755
732	0.0402707159
733	0.04021848488
734	0.04018351107
735	0.04011338519
736	0.04006806191
737	0.040038687
738	0.03998723975
739	0.03992319155
740	0.03989314836
741	0.0398033296
742	0.03972846248
743	0.03969422772
744	0.03965079199
745	0.03961691983
746	0.03958296084
747	0.03951120245
748	0.03946999282
749	0.03943153491
750	0.0394060373
751	0.03937638905
752	0.03934640237
753	0.03931299467
754	0.03927691548
755	0.03922303742
756	0.03919720577
757	0.03912491152
758	0.03910021599
759	0.0390455841
760	0.03898501298
761	0.03893149291
762	0.03887337882
763	0.03884391846
764	0.03883233767
765	0.03877223143
766	0.03873210598
767	0.03869964359
768	0.03862949441
769	0.03860729612
770	0.03857978205
771	0.03851890723
772	0.03842403866
773	0.03838824654
774	0.03834206971
775	0.03832039973
776	0.03829428533
777	0.0382373876
778	0.0381542216
779	0.03811885241
780	0.03807167252
781	0.0380213092
782	0.03798876181
783	0.03790850466
784	0.03788181611
785	0.03782630539
786	0.03776741679
787	0.03774394638
788	0.03771975832
789	0.03768842998
790	0.03765730489
791	0.0376312549
792	0.03760351939
793	0.03756192452
794	0.03748332408
795	0.03744340799
796	0.03737468044
797	0.03734462889
798	0.0373268654
799	0.03730268307
800	0.03728778331
801	0.03725461738
802	0.03720965151
803	0.03718965707
804	0.03715262036
805	0.03711113832
806	0.03705926896
807	0.03702448331
808	0.03691183523
809	0.03689525898
810	0.0368568571
811	0.03681146176
812	0.03670034499
813	0.03666712874
814	0.03662910005
815	0.03656281472
816	0.03653424328
817	0.03647919627
818	0.03637005195
819	0.03634949698
820	0.03631013338
821	0.03626626745
822	0.03621431595
823	0.03615185891
824	0.03613273445
825	0.03611381907
826	0.03607413119
827	0.03606426419
828	0.03603456628
829	0.03600200097
830	0.03593826293
831	0.03590253582
832	0.03588788286
833	0.0358271144
834	0.03580729678
835	0.03577852948
836	0.03573218073
837	0.03567609755
838	0.03561009021
839	0.03556087441
840	0.03550566402
841	0.03548980256
842	0.03547170882
843	0.03542297789
844	0.03538454084
845	0.03533989448
846	0.03530358139
847	0.03524214927
848	0.03520411982
849	0.03514430344
850	0.03509317555
851	0.03507542391
852	0.0350549512
853	0.03502245988
854	0.03497711761
855	0.03495385314
856	0.03492609044
857	0.03487835023
858	0.0348363948
859	0.03481579676
860	0.03478586357
861	0.03471959269
862	0.03470769758
863	0.03466722431
864	0.03464631575
865	0.03462926861
866	0.03452862827
867	0.03447076408
868	0.0344559469
869	0.03438929949
870	0.034323228
871	0.0342966873
872	0.03427279763
873	0.03422916683
874	0.03418416454
875	0.03415735361
876	0.03410311297
877	0.0340780876
878	0.03404832487
879	0.03401330768
880	0.03395172062
881	0.03389984627
882	0.03385764623
883	0.03380344988
884	0.0337705937
885	0.03371074729
886	0.03365811293
887	0.03364508513
888	0.03363139542
889	0.03360818012
890	0.03358964689
891	0.03353413868
892	0.03351301129
893	0.03341742304
894	0.0333754572
895	0.0333407762
896	0.03330458226
897	0.03325493492
898	0.03321418679
899	0.0331872155
900	0.03316734416
901	0.03314690875
902	0.03311376976
903	0.03309011548
904	0.03307459972
905	0.03304946036
906	0.03302051046
907	0.03300540724
908	0.03297355544
909	0.03292144542
910	0.03290193741
911	0.03287133807
912	0.03283113572
913	0.03278253478
914	0.03274253147
915	0.03272342006
916	0.03268376595
917	0.03266554189
918	0.03259603223
919	0.03255619657
920	0.03252261454
921	0.03248482472
922	0.03246144518
923	0.03243322871
924	0.03239998148
925	0.03237958615
926	0.03235775067
927	0.03231230271
928	0.03229071807
929	0.03222972092
930	0.03217893487
931	0.03213826213
932	0.03207799313
933	0.03205296147
934	0.03199952741
935	0.031911853
936	0.0318723054
937	0.03185377474
938	0.03182802878
939	0.03177956618
940	0.03172118874
941	0.03169269759
942	0.0316565001
943	0.03163746449
944	0.03162078341
945	0.031589196
946	0.0315500982
947	0.03149291101
948	0.0314595282
949	0.0314284155
950	0.03140539992
951	0.03139176476
952	0.03138445557
953	0.03134168831
954	0.03131874398
955	0.03129173689
956	0.0312578172
957	0.0312155192
958	0.03117092509
959	0.03114189506
960	0.03112138321
961	0.03109102453
962	0.0310520567
963	0.03100538469
964	0.03098079413
965	0.0309584258
966	0.03094460617
967	0.03090569428
968	0.0308783537
969	0.03086521038
970	0.03085837452
971	0.03084237711
972	0.03081850163
973	0.03080145482
974	0.03075967565
975	0.03073604718
976	0.03067016698
977	0.03061663389
978	0.0305935682
979	0.03057002219
980	0.03052293179
981	0.03049770438
982	0.03048794867
983	0.03042792147
984	0.03039357942
985	0.0303715373
986	0.03035043655
987	0.03034203738
988	0.03028026688
989	0.03025630705
990	0.03022155994
991	0.03019532853
992	0.03017463861
993	0.03015001983
994	0.03010444881
995	0.03009410599
996	0.03005828024
997	0.03003737742
998	0.03002537306
999	0.03001601949
